"","indicator_ru","region","variable","value","indicator_en","unit","class"
"60","Денежные доходы (в среднем на душу)","Оренбургская область",1995,332.4,"Cash income (average per capita)","roubles","Living Standards"
"61","Денежные доходы (в среднем на душу)","Пензенская область",1995,303.9,"Cash income (average per capita)","roubles","Living Standards"
"62","Денежные доходы (в среднем на душу)","Самарская область",1995,476.3,"Cash income (average per capita)","roubles","Living Standards"
"63","Денежные доходы (в среднем на душу)","Саратовская область",1995,326.3,"Cash income (average per capita)","roubles","Living Standards"
"64","Денежные доходы (в среднем на душу)","Ульяновская область",1995,316.3,"Cash income (average per capita)","roubles","Living Standards"
"65","Денежные доходы (в среднем на душу)","Уральский федеральный округ",1995,605,"Cash income (average per capita)","roubles","Living Standards"
"66","Денежные доходы (в среднем на душу)","Курганская область",1995,279.6,"Cash income (average per capita)","roubles","Living Standards"
"67","Денежные доходы (в среднем на душу)","Свердловская область",1995,506.1,"Cash income (average per capita)","roubles","Living Standards"
"68","Денежные доходы (в среднем на душу)","Тюменская область",1995,1082.6,"Cash income (average per capita)","roubles","Living Standards"
"71","Денежные доходы (в среднем на душу)","Челябинская область",1995,416.1,"Cash income (average per capita)","roubles","Living Standards"
"72","Денежные доходы (в среднем на душу)","Сибирский федеральный округ",1995,493.7,"Cash income (average per capita)","roubles","Living Standards"
"73","Денежные доходы (в среднем на душу)","Республика Алтай",1995,318.7,"Cash income (average per capita)","roubles","Living Standards"
"74","Денежные доходы (в среднем на душу)","Республика Бурятия",1995,378.6,"Cash income (average per capita)","roubles","Living Standards"
"75","Денежные доходы (в среднем на душу)","Республика Тыва",1995,318.9,"Cash income (average per capita)","roubles","Living Standards"
"76","Денежные доходы (в среднем на душу)","Республика Хакасия",1995,476.5,"Cash income (average per capita)","roubles","Living Standards"
"77","Денежные доходы (в среднем на душу)","Алтайский край",1995,348.8,"Cash income (average per capita)","roubles","Living Standards"
"78","Денежные доходы (в среднем на душу)","Забайкальский край",1995,436.3,"Cash income (average per capita)","roubles","Living Standards"
"80","Денежные доходы (в среднем на душу)","Красноярский край",1995,594.5,"Cash income (average per capita)","roubles","Living Standards"
"83","Денежные доходы (в среднем на душу)","Иркутская область",1995,593,"Cash income (average per capita)","roubles","Living Standards"
"85","Денежные доходы (в среднем на душу)","Кемеровская область",1995,704.1,"Cash income (average per capita)","roubles","Living Standards"
"86","Денежные доходы (в среднем на душу)","Новосибирская область",1995,341.6,"Cash income (average per capita)","roubles","Living Standards"
"87","Денежные доходы (в среднем на душу)","Омская область",1995,431.6,"Cash income (average per capita)","roubles","Living Standards"
"88","Денежные доходы (в среднем на душу)","Томская область",1995,496.8,"Cash income (average per capita)","roubles","Living Standards"
"89","Денежные доходы (в среднем на душу)","Дальневосточный федеральный округ",1995,649.3,"Cash income (average per capita)","roubles","Living Standards"
"90","Денежные доходы (в среднем на душу)","Республика Саха (Якутия)",1995,957.1,"Cash income (average per capita)","roubles","Living Standards"
"91","Денежные доходы (в среднем на душу)","Камчатский край",1995,957.2,"Cash income (average per capita)","roubles","Living Standards"
"93","Денежные доходы (в среднем на душу)","Приморский край",1995,540.1,"Cash income (average per capita)","roubles","Living Standards"
"94","Денежные доходы (в среднем на душу)","Хабаровский край",1995,536,"Cash income (average per capita)","roubles","Living Standards"
"95","Денежные доходы (в среднем на душу)","Амурская область",1995,512.5,"Cash income (average per capita)","roubles","Living Standards"
"96","Денежные доходы (в среднем на душу)","Магаданская область",1995,1018.3,"Cash income (average per capita)","roubles","Living Standards"
"97","Денежные доходы (в среднем на душу)","Сахалинская область",1995,688.8,"Cash income (average per capita)","roubles","Living Standards"
"98","Денежные доходы (в среднем на душу)","Еврейская автономная область",1995,416.1,"Cash income (average per capita)","roubles","Living Standards"
"99","Денежные доходы (в среднем на душу)","Чукотский автономный округ",1995,1131,"Cash income (average per capita)","roubles","Living Standards"
"100","Денежные доходы (в среднем на душу)","Российская Федерация",1996,769.5,"Cash income (average per capita)","roubles","Living Standards"
"101","Денежные доходы (в среднем на душу)","Центральный федеральный округ",1996,1050.6,"Cash income (average per capita)","roubles","Living Standards"
"102","Денежные доходы (в среднем на душу)","Белгородская область",1996,593.3,"Cash income (average per capita)","roubles","Living Standards"
"103","Денежные доходы (в среднем на душу)","Брянская область",1996,528.8,"Cash income (average per capita)","roubles","Living Standards"
"104","Денежные доходы (в среднем на душу)","Владимирская область",1996,473.2,"Cash income (average per capita)","roubles","Living Standards"
"105","Денежные доходы (в среднем на душу)","Воронежская область",1996,468,"Cash income (average per capita)","roubles","Living Standards"
"106","Денежные доходы (в среднем на душу)","Ивановская область",1996,460.5,"Cash income (average per capita)","roubles","Living Standards"
"107","Денежные доходы (в среднем на душу)","Калужская область",1996,571,"Cash income (average per capita)","roubles","Living Standards"
"108","Денежные доходы (в среднем на душу)","Костромская область",1996,533.9,"Cash income (average per capita)","roubles","Living Standards"
"109","Денежные доходы (в среднем на душу)","Курская область",1996,463.2,"Cash income (average per capita)","roubles","Living Standards"
"110","Денежные доходы (в среднем на душу)","Липецкая область",1996,620.9,"Cash income (average per capita)","roubles","Living Standards"
"111","Денежные доходы (в среднем на душу)","Московская область",1996,579.6,"Cash income (average per capita)","roubles","Living Standards"
"112","Денежные доходы (в среднем на душу)","Орловская область",1996,583.4,"Cash income (average per capita)","roubles","Living Standards"
"113","Денежные доходы (в среднем на душу)","Рязанская область",1996,508,"Cash income (average per capita)","roubles","Living Standards"
"114","Денежные доходы (в среднем на душу)","Смоленская область",1996,556.7,"Cash income (average per capita)","roubles","Living Standards"
"115","Денежные доходы (в среднем на душу)","Тамбовская область",1996,465.3,"Cash income (average per capita)","roubles","Living Standards"
"116","Денежные доходы (в среднем на душу)","Тверская область",1996,480.1,"Cash income (average per capita)","roubles","Living Standards"
"117","Денежные доходы (в среднем на душу)","Тульская область",1996,549.5,"Cash income (average per capita)","roubles","Living Standards"
"118","Денежные доходы (в среднем на душу)","Ярославская область",1996,629.3,"Cash income (average per capita)","roubles","Living Standards"
"119","Денежные доходы (в среднем на душу)","г.Москва",1996,2639.2,"Cash income (average per capita)","roubles","Living Standards"
"120","Денежные доходы (в среднем на душу)","Северо-Западный федеральный округ",1996,793.3,"Cash income (average per capita)","roubles","Living Standards"
"121","Денежные доходы (в среднем на душу)","Республика Карелия",1996,949.2,"Cash income (average per capita)","roubles","Living Standards"
"122","Денежные доходы (в среднем на душу)","Республика Коми",1996,1034.1,"Cash income (average per capita)","roubles","Living Standards"
"123","Денежные доходы (в среднем на душу)","Архангельская область",1996,693.5,"Cash income (average per capita)","roubles","Living Standards"
"125","Денежные доходы (в среднем на душу)","Вологодская область",1996,709.1,"Cash income (average per capita)","roubles","Living Standards"
"126","Денежные доходы (в среднем на душу)","Калининградская область",1996,507.2,"Cash income (average per capita)","roubles","Living Standards"
"127","Денежные доходы (в среднем на душу)","Ленинградская область",1996,540.8,"Cash income (average per capita)","roubles","Living Standards"
"128","Денежные доходы (в среднем на душу)","Мурманская область",1996,1078.5,"Cash income (average per capita)","roubles","Living Standards"
"129","Денежные доходы (в среднем на душу)","Новгородская область",1996,709.2,"Cash income (average per capita)","roubles","Living Standards"
"130","Денежные доходы (в среднем на душу)","Псковская область",1996,479.9,"Cash income (average per capita)","roubles","Living Standards"
"131","Денежные доходы (в среднем на душу)","г.Санкт-Петербург",1996,918.8,"Cash income (average per capita)","roubles","Living Standards"
"132","Денежные доходы (в среднем на душу)","Южный федеральный округ (по 2009 год)",1996,480.1,"Cash income (average per capita)","roubles","Living Standards"
"134","Денежные доходы (в среднем на душу)","Республика Адыгея",1996,412.6,"Cash income (average per capita)","roubles","Living Standards"
"135","Денежные доходы (в среднем на душу)","Республика Калмыкия",1996,342.6,"Cash income (average per capita)","roubles","Living Standards"
"136","Денежные доходы (в среднем на душу)","Краснодарский край",1996,572.8,"Cash income (average per capita)","roubles","Living Standards"
"137","Денежные доходы (в среднем на душу)","Астраханская область",1996,526.9,"Cash income (average per capita)","roubles","Living Standards"
"138","Денежные доходы (в среднем на душу)","Волгоградская область",1996,510.4,"Cash income (average per capita)","roubles","Living Standards"
"139","Денежные доходы (в среднем на душу)","Ростовская область",1996,516,"Cash income (average per capita)","roubles","Living Standards"
"141","Денежные доходы (в среднем на душу)","Республика Дагестан",1996,247.6,"Cash income (average per capita)","roubles","Living Standards"
"142","Денежные доходы (в среднем на душу)","Республика Ингушетия",1996,215.5,"Cash income (average per capita)","roubles","Living Standards"
"143","Денежные доходы (в среднем на душу)","Кабардино-Балкарская Республика",1996,372.5,"Cash income (average per capita)","roubles","Living Standards"
"144","Денежные доходы (в среднем на душу)","Карачаево-Черкесская Республика",1996,323.6,"Cash income (average per capita)","roubles","Living Standards"
"145","Денежные доходы (в среднем на душу)","Республика Северная Осетия - Алания",1996,435.1,"Cash income (average per capita)","roubles","Living Standards"
"147","Денежные доходы (в среднем на душу)","Ставропольский край",1996,516.7,"Cash income (average per capita)","roubles","Living Standards"
"148","Денежные доходы (в среднем на душу)","Приволжский федеральный округ",1996,554.5,"Cash income (average per capita)","roubles","Living Standards"
"149","Денежные доходы (в среднем на душу)","Республика Башкортостан",1996,499.9,"Cash income (average per capita)","roubles","Living Standards"
"150","Денежные доходы (в среднем на душу)","Республика Марий Эл",1996,372.1,"Cash income (average per capita)","roubles","Living Standards"
"151","Денежные доходы (в среднем на душу)","Республика Мордовия",1996,412,"Cash income (average per capita)","roubles","Living Standards"
"152","Денежные доходы (в среднем на душу)","Республика Татарстан",1996,546.2,"Cash income (average per capita)","roubles","Living Standards"
"153","Денежные доходы (в среднем на душу)","Удмуртская Республика",1996,591.5,"Cash income (average per capita)","roubles","Living Standards"
"154","Денежные доходы (в среднем на душу)","Чувашская Республика",1996,436.3,"Cash income (average per capita)","roubles","Living Standards"
"155","Денежные доходы (в среднем на душу)","Пермский край",1996,774.2,"Cash income (average per capita)","roubles","Living Standards"
"157","Денежные доходы (в среднем на душу)","Кировская область",1996,553.5,"Cash income (average per capita)","roubles","Living Standards"
"158","Денежные доходы (в среднем на душу)","Нижегородская область",1996,534.6,"Cash income (average per capita)","roubles","Living Standards"
"159","Денежные доходы (в среднем на душу)","Оренбургская область",1996,533.8,"Cash income (average per capita)","roubles","Living Standards"
"160","Денежные доходы (в среднем на душу)","Пензенская область",1996,456.4,"Cash income (average per capita)","roubles","Living Standards"
"161","Денежные доходы (в среднем на душу)","Самарская область",1996,731.6,"Cash income (average per capita)","roubles","Living Standards"
"162","Денежные доходы (в среднем на душу)","Саратовская область",1996,456.7,"Cash income (average per capita)","roubles","Living Standards"
"163","Денежные доходы (в среднем на душу)","Ульяновская область",1996,514.8,"Cash income (average per capita)","roubles","Living Standards"
"164","Денежные доходы (в среднем на душу)","Уральский федеральный округ",1996,906.5,"Cash income (average per capita)","roubles","Living Standards"
"165","Денежные доходы (в среднем на душу)","Курганская область",1996,419.6,"Cash income (average per capita)","roubles","Living Standards"
"166","Денежные доходы (в среднем на душу)","Свердловская область",1996,710.5,"Cash income (average per capita)","roubles","Living Standards"
"167","Денежные доходы (в среднем на душу)","Тюменская область",1996,1733.3,"Cash income (average per capita)","roubles","Living Standards"
"170","Денежные доходы (в среднем на душу)","Челябинская область",1996,582.6,"Cash income (average per capita)","roubles","Living Standards"
"171","Денежные доходы (в среднем на душу)","Сибирский федеральный округ",1996,716.4,"Cash income (average per capita)","roubles","Living Standards"
"172","Денежные доходы (в среднем на душу)","Республика Алтай",1996,478.5,"Cash income (average per capita)","roubles","Living Standards"
"173","Денежные доходы (в среднем на душу)","Республика Бурятия",1996,506.9,"Cash income (average per capita)","roubles","Living Standards"
"174","Денежные доходы (в среднем на душу)","Республика Тыва",1996,456.8,"Cash income (average per capita)","roubles","Living Standards"
"175","Денежные доходы (в среднем на душу)","Республика Хакасия",1996,758.3,"Cash income (average per capita)","roubles","Living Standards"
"176","Денежные доходы (в среднем на душу)","Алтайский край",1996,436.5,"Cash income (average per capita)","roubles","Living Standards"
"177","Денежные доходы (в среднем на душу)","Забайкальский край",1996,571.1,"Cash income (average per capita)","roubles","Living Standards"
"179","Денежные доходы (в среднем на душу)","Красноярский край",1996,932.4,"Cash income (average per capita)","roubles","Living Standards"
"182","Денежные доходы (в среднем на душу)","Иркутская область",1996,832.8,"Cash income (average per capita)","roubles","Living Standards"
"184","Денежные доходы (в среднем на душу)","Кемеровская область",1996,851,"Cash income (average per capita)","roubles","Living Standards"
"185","Денежные доходы (в среднем на душу)","Новосибирская область",1996,702.4,"Cash income (average per capita)","roubles","Living Standards"
"186","Денежные доходы (в среднем на душу)","Омская область",1996,672.1,"Cash income (average per capita)","roubles","Living Standards"
"187","Денежные доходы (в среднем на душу)","Томская область",1996,710.7,"Cash income (average per capita)","roubles","Living Standards"
"188","Денежные доходы (в среднем на душу)","Дальневосточный федеральный округ",1996,961.9,"Cash income (average per capita)","roubles","Living Standards"
"189","Денежные доходы (в среднем на душу)","Республика Саха (Якутия)",1996,1491.8,"Cash income (average per capita)","roubles","Living Standards"
"190","Денежные доходы (в среднем на душу)","Камчатский край",1996,1458.1,"Cash income (average per capita)","roubles","Living Standards"
"192","Денежные доходы (в среднем на душу)","Приморский край",1996,735.8,"Cash income (average per capita)","roubles","Living Standards"
"193","Денежные доходы (в среднем на душу)","Хабаровский край",1996,833.7,"Cash income (average per capita)","roubles","Living Standards"
"194","Денежные доходы (в среднем на душу)","Амурская область",1996,780.4,"Cash income (average per capita)","roubles","Living Standards"
"195","Денежные доходы (в среднем на душу)","Магаданская область",1996,1446.8,"Cash income (average per capita)","roubles","Living Standards"
"196","Денежные доходы (в среднем на душу)","Сахалинская область",1996,1020.5,"Cash income (average per capita)","roubles","Living Standards"
"197","Денежные доходы (в среднем на душу)","Еврейская автономная область",1996,597.7,"Cash income (average per capita)","roubles","Living Standards"
"198","Денежные доходы (в среднем на душу)","Чукотский автономный округ",1996,1772.4,"Cash income (average per capita)","roubles","Living Standards"
"199","Денежные доходы (в среднем на душу)","Российская Федерация",1997,940.6,"Cash income (average per capita)","roubles","Living Standards"
"200","Денежные доходы (в среднем на душу)","Центральный федеральный округ",1997,1289.6,"Cash income (average per capita)","roubles","Living Standards"
"201","Денежные доходы (в среднем на душу)","Белгородская область",1997,657.6,"Cash income (average per capita)","roubles","Living Standards"
"202","Денежные доходы (в среднем на душу)","Брянская область",1997,601.4,"Cash income (average per capita)","roubles","Living Standards"
"203","Денежные доходы (в среднем на душу)","Владимирская область",1997,577.3,"Cash income (average per capita)","roubles","Living Standards"
"204","Денежные доходы (в среднем на душу)","Воронежская область",1997,676.2,"Cash income (average per capita)","roubles","Living Standards"
"205","Денежные доходы (в среднем на душу)","Ивановская область",1997,555.2,"Cash income (average per capita)","roubles","Living Standards"
"206","Денежные доходы (в среднем на душу)","Калужская область",1997,644.8,"Cash income (average per capita)","roubles","Living Standards"
"207","Денежные доходы (в среднем на душу)","Костромская область",1997,620.3,"Cash income (average per capita)","roubles","Living Standards"
"208","Денежные доходы (в среднем на душу)","Курская область",1997,595.5,"Cash income (average per capita)","roubles","Living Standards"
"209","Денежные доходы (в среднем на душу)","Липецкая область",1997,692.7,"Cash income (average per capita)","roubles","Living Standards"
"210","Денежные доходы (в среднем на душу)","Московская область",1997,734.3,"Cash income (average per capita)","roubles","Living Standards"
"211","Денежные доходы (в среднем на душу)","Орловская область",1997,658.9,"Cash income (average per capita)","roubles","Living Standards"
"212","Денежные доходы (в среднем на душу)","Рязанская область",1997,610.6,"Cash income (average per capita)","roubles","Living Standards"
"213","Денежные доходы (в среднем на душу)","Смоленская область",1997,662.4,"Cash income (average per capita)","roubles","Living Standards"
"214","Денежные доходы (в среднем на душу)","Тамбовская область",1997,574.7,"Cash income (average per capita)","roubles","Living Standards"
"215","Денежные доходы (в среднем на душу)","Тверская область",1997,549.7,"Cash income (average per capita)","roubles","Living Standards"
