"","indicator_ru","region","variable","value","indicator_en","unit","class"
"298","Денежные доходы (в среднем на душу)","Российская Федерация",1998,1010.2,"Cash income (average per capita)","roubles","Living Standards"
"299","Денежные доходы (в среднем на душу)","Центральный федеральный округ",1998,1462.6,"Cash income (average per capita)","roubles","Living Standards"
"300","Денежные доходы (в среднем на душу)","Белгородская область",1998,717.5,"Cash income (average per capita)","roubles","Living Standards"
"301","Денежные доходы (в среднем на душу)","Брянская область",1998,592.7,"Cash income (average per capita)","roubles","Living Standards"
"302","Денежные доходы (в среднем на душу)","Владимирская область",1998,593.5,"Cash income (average per capita)","roubles","Living Standards"
"303","Денежные доходы (в среднем на душу)","Воронежская область",1998,787.1,"Cash income (average per capita)","roubles","Living Standards"
"304","Денежные доходы (в среднем на душу)","Ивановская область",1998,522.2,"Cash income (average per capita)","roubles","Living Standards"
"305","Денежные доходы (в среднем на душу)","Калужская область",1998,696.7,"Cash income (average per capita)","roubles","Living Standards"
"306","Денежные доходы (в среднем на душу)","Костромская область",1998,619,"Cash income (average per capita)","roubles","Living Standards"
"307","Денежные доходы (в среднем на душу)","Курская область",1998,644.7,"Cash income (average per capita)","roubles","Living Standards"
"308","Денежные доходы (в среднем на душу)","Липецкая область",1998,739.5,"Cash income (average per capita)","roubles","Living Standards"
"309","Денежные доходы (в среднем на душу)","Московская область",1998,900.6,"Cash income (average per capita)","roubles","Living Standards"
"310","Денежные доходы (в среднем на душу)","Орловская область",1998,718.4,"Cash income (average per capita)","roubles","Living Standards"
"311","Денежные доходы (в среднем на душу)","Рязанская область",1998,610.1,"Cash income (average per capita)","roubles","Living Standards"
"312","Денежные доходы (в среднем на душу)","Смоленская область",1998,722.3,"Cash income (average per capita)","roubles","Living Standards"
"313","Денежные доходы (в среднем на душу)","Тамбовская область",1998,631.7,"Cash income (average per capita)","roubles","Living Standards"
"314","Денежные доходы (в среднем на душу)","Тверская область",1998,596.9,"Cash income (average per capita)","roubles","Living Standards"
"315","Денежные доходы (в среднем на душу)","Тульская область",1998,695.7,"Cash income (average per capita)","roubles","Living Standards"
"316","Денежные доходы (в среднем на душу)","Ярославская область",1998,798,"Cash income (average per capita)","roubles","Living Standards"
"317","Денежные доходы (в среднем на душу)","г.Москва",1998,3635,"Cash income (average per capita)","roubles","Living Standards"
"318","Денежные доходы (в среднем на душу)","Северо-Западный федеральный округ",1998,1022.7,"Cash income (average per capita)","roubles","Living Standards"
"319","Денежные доходы (в среднем на душу)","Республика Карелия",1998,1077,"Cash income (average per capita)","roubles","Living Standards"
"320","Денежные доходы (в среднем на душу)","Республика Коми",1998,1459.2,"Cash income (average per capita)","roubles","Living Standards"
"321","Денежные доходы (в среднем на душу)","Архангельская область",1998,840.1,"Cash income (average per capita)","roubles","Living Standards"
"322","Денежные доходы (в среднем на душу)","Ненецкий автономный округ",1998,1306.7,"Cash income (average per capita)","roubles","Living Standards"
"323","Денежные доходы (в среднем на душу)","Вологодская область",1998,884.7,"Cash income (average per capita)","roubles","Living Standards"
"324","Денежные доходы (в среднем на душу)","Калининградская область",1998,756.6,"Cash income (average per capita)","roubles","Living Standards"
"325","Денежные доходы (в среднем на душу)","Ленинградская область",1998,648.7,"Cash income (average per capita)","roubles","Living Standards"
"326","Денежные доходы (в среднем на душу)","Мурманская область",1998,1558.9,"Cash income (average per capita)","roubles","Living Standards"
"327","Денежные доходы (в среднем на душу)","Новгородская область",1998,951,"Cash income (average per capita)","roubles","Living Standards"
"328","Денежные доходы (в среднем на душу)","Псковская область",1998,602.2,"Cash income (average per capita)","roubles","Living Standards"
"329","Денежные доходы (в среднем на душу)","г.Санкт-Петербург",1998,1169.2,"Cash income (average per capita)","roubles","Living Standards"
"330","Денежные доходы (в среднем на душу)","Южный федеральный округ (по 2009 год)",1998,619.6,"Cash income (average per capita)","roubles","Living Standards"
"332","Денежные доходы (в среднем на душу)","Республика Адыгея",1998,605.9,"Cash income (average per capita)","roubles","Living Standards"
"333","Денежные доходы (в среднем на душу)","Республика Калмыкия",1998,478.1,"Cash income (average per capita)","roubles","Living Standards"
"334","Денежные доходы (в среднем на душу)","Краснодарский край",1998,687.2,"Cash income (average per capita)","roubles","Living Standards"
"335","Денежные доходы (в среднем на душу)","Астраханская область",1998,725.2,"Cash income (average per capita)","roubles","Living Standards"
"336","Денежные доходы (в среднем на душу)","Волгоградская область",1998,647.9,"Cash income (average per capita)","roubles","Living Standards"
"337","Денежные доходы (в среднем на душу)","Ростовская область",1998,705.5,"Cash income (average per capita)","roubles","Living Standards"
"339","Денежные доходы (в среднем на душу)","Республика Дагестан",1998,360.9,"Cash income (average per capita)","roubles","Living Standards"
"340","Денежные доходы (в среднем на душу)","Республика Ингушетия",1998,334.1,"Cash income (average per capita)","roubles","Living Standards"
"341","Денежные доходы (в среднем на душу)","Кабардино-Балкарская Республика",1998,481.1,"Cash income (average per capita)","roubles","Living Standards"
"342","Денежные доходы (в среднем на душу)","Карачаево-Черкесская Республика",1998,449.8,"Cash income (average per capita)","roubles","Living Standards"
"343","Денежные доходы (в среднем на душу)","Республика Северная Осетия - Алания",1998,613.5,"Cash income (average per capita)","roubles","Living Standards"
"345","Денежные доходы (в среднем на душу)","Ставропольский край",1998,630.3,"Cash income (average per capita)","roubles","Living Standards"
"346","Денежные доходы (в среднем на душу)","Приволжский федеральный округ",1998,744.1,"Cash income (average per capita)","roubles","Living Standards"
"347","Денежные доходы (в среднем на душу)","Республика Башкортостан",1998,694.9,"Cash income (average per capita)","roubles","Living Standards"
"348","Денежные доходы (в среднем на душу)","Республика Марий Эл",1998,429.9,"Cash income (average per capita)","roubles","Living Standards"
"349","Денежные доходы (в среднем на душу)","Республика Мордовия",1998,518.5,"Cash income (average per capita)","roubles","Living Standards"
"350","Денежные доходы (в среднем на душу)","Республика Татарстан",1998,758.7,"Cash income (average per capita)","roubles","Living Standards"
"351","Денежные доходы (в среднем на душу)","Удмуртская Республика",1998,671.5,"Cash income (average per capita)","roubles","Living Standards"
"352","Денежные доходы (в среднем на душу)","Чувашская Республика",1998,476.6,"Cash income (average per capita)","roubles","Living Standards"
"353","Денежные доходы (в среднем на душу)","Пермский край",1998,1020.5,"Cash income (average per capita)","roubles","Living Standards"
"354","Денежные доходы (в среднем на душу)","Коми-Пермяцкий авт.округ",1998,368.3,"Cash income (average per capita)","roubles","Living Standards"
"355","Денежные доходы (в среднем на душу)","Кировская область",1998,622.3,"Cash income (average per capita)","roubles","Living Standards"
"356","Денежные доходы (в среднем на душу)","Нижегородская область",1998,725.6,"Cash income (average per capita)","roubles","Living Standards"
"357","Денежные доходы (в среднем на душу)","Оренбургская область",1998,641.2,"Cash income (average per capita)","roubles","Living Standards"
"358","Денежные доходы (в среднем на душу)","Пензенская область",1998,549.7,"Cash income (average per capita)","roubles","Living Standards"
"359","Денежные доходы (в среднем на душу)","Самарская область",1998,1202.8,"Cash income (average per capita)","roubles","Living Standards"
"360","Денежные доходы (в среднем на душу)","Саратовская область",1998,609.9,"Cash income (average per capita)","roubles","Living Standards"
"361","Денежные доходы (в среднем на душу)","Ульяновская область",1998,677,"Cash income (average per capita)","roubles","Living Standards"
"362","Денежные доходы (в среднем на душу)","Уральский федеральный округ",1998,1122.9,"Cash income (average per capita)","roubles","Living Standards"
"363","Денежные доходы (в среднем на душу)","Курганская область",1998,543.7,"Cash income (average per capita)","roubles","Living Standards"
"364","Денежные доходы (в среднем на душу)","Свердловская область",1998,858,"Cash income (average per capita)","roubles","Living Standards"
"365","Денежные доходы (в среднем на душу)","Тюменская область",1998,2128.6,"Cash income (average per capita)","roubles","Living Standards"
"366","Денежные доходы (в среднем на душу)","Ханты-Мансийский автономный округ-Югра",1998,2719.7,"Cash income (average per capita)","roubles","Living Standards"
"367","Денежные доходы (в среднем на душу)","Ямало-Ненецкий автономный округ",1998,3359,"Cash income (average per capita)","roubles","Living Standards"
"368","Денежные доходы (в среднем на душу)","Челябинская область",1998,743.3,"Cash income (average per capita)","roubles","Living Standards"
"369","Денежные доходы (в среднем на душу)","Сибирский федеральный округ",1998,856.3,"Cash income (average per capita)","roubles","Living Standards"
"370","Денежные доходы (в среднем на душу)","Республика Алтай",1998,554.3,"Cash income (average per capita)","roubles","Living Standards"
"371","Денежные доходы (в среднем на душу)","Республика Бурятия",1998,659.4,"Cash income (average per capita)","roubles","Living Standards"
"372","Денежные доходы (в среднем на душу)","Республика Тыва",1998,556.8,"Cash income (average per capita)","roubles","Living Standards"
"373","Денежные доходы (в среднем на душу)","Республика Хакасия",1998,783.8,"Cash income (average per capita)","roubles","Living Standards"
"374","Денежные доходы (в среднем на душу)","Алтайский край",1998,533,"Cash income (average per capita)","roubles","Living Standards"
"375","Денежные доходы (в среднем на душу)","Забайкальский край",1998,534.4,"Cash income (average per capita)","roubles","Living Standards"
"376","Денежные доходы (в среднем на душу)","Агинский Бурятский авт.округ",1998,355.7,"Cash income (average per capita)","roubles","Living Standards"
"377","Денежные доходы (в среднем на душу)","Красноярский край",1998,1179.2,"Cash income (average per capita)","roubles","Living Standards"
"378","Денежные доходы (в среднем на душу)","Таймырский (Долгано-Ненецкий) авт.округ",1998,1459.9,"Cash income (average per capita)","roubles","Living Standards"
"379","Денежные доходы (в среднем на душу)","Эвенкийский авт.окpуг",1998,937.6,"Cash income (average per capita)","roubles","Living Standards"
"380","Денежные доходы (в среднем на душу)","Иркутская область",1998,1081.6,"Cash income (average per capita)","roubles","Living Standards"
"381","Денежные доходы (в среднем на душу)","Усть-Ордынский Бурятский авт.округ",1998,301.8,"Cash income (average per capita)","roubles","Living Standards"
"382","Денежные доходы (в среднем на душу)","Кемеровская область",1998,979.4,"Cash income (average per capita)","roubles","Living Standards"
"383","Денежные доходы (в среднем на душу)","Новосибирская область",1998,758.1,"Cash income (average per capita)","roubles","Living Standards"
"384","Денежные доходы (в среднем на душу)","Омская область",1998,801.8,"Cash income (average per capita)","roubles","Living Standards"
"385","Денежные доходы (в среднем на душу)","Томская область",1998,928.6,"Cash income (average per capita)","roubles","Living Standards"
"386","Денежные доходы (в среднем на душу)","Дальневосточный федеральный округ",1998,1183.5,"Cash income (average per capita)","roubles","Living Standards"
"387","Денежные доходы (в среднем на душу)","Республика Саха (Якутия)",1998,1779.7,"Cash income (average per capita)","roubles","Living Standards"
"388","Денежные доходы (в среднем на душу)","Камчатский край",1998,1634,"Cash income (average per capita)","roubles","Living Standards"
"389","Денежные доходы (в среднем на душу)","Корякский автономный  округ",1998,2015.7,"Cash income (average per capita)","roubles","Living Standards"
"390","Денежные доходы (в среднем на душу)","Приморский край",1998,921.2,"Cash income (average per capita)","roubles","Living Standards"
"391","Денежные доходы (в среднем на душу)","Хабаровский край",1998,1163.3,"Cash income (average per capita)","roubles","Living Standards"
"392","Денежные доходы (в среднем на душу)","Амурская область",1998,902.3,"Cash income (average per capita)","roubles","Living Standards"
"393","Денежные доходы (в среднем на душу)","Магаданская область",1998,1831,"Cash income (average per capita)","roubles","Living Standards"
"394","Денежные доходы (в среднем на душу)","Сахалинская область",1998,1194.8,"Cash income (average per capita)","roubles","Living Standards"
"395","Денежные доходы (в среднем на душу)","Еврейская автономная область",1998,690.4,"Cash income (average per capita)","roubles","Living Standards"
"396","Денежные доходы (в среднем на душу)","Чукотский автономный округ",1998,2074.9,"Cash income (average per capita)","roubles","Living Standards"
"397","Денежные доходы (в среднем на душу)","Российская Федерация",1999,1658.9,"Cash income (average per capita)","roubles","Living Standards"
"398","Денежные доходы (в среднем на душу)","Центральный федеральный округ",1999,2416.4,"Cash income (average per capita)","roubles","Living Standards"
"399","Денежные доходы (в среднем на душу)","Белгородская область",1999,1187.1,"Cash income (average per capita)","roubles","Living Standards"
"400","Денежные доходы (в среднем на душу)","Брянская область",1999,945.7,"Cash income (average per capita)","roubles","Living Standards"
"401","Денежные доходы (в среднем на душу)","Владимирская область",1999,994.5,"Cash income (average per capita)","roubles","Living Standards"
"402","Денежные доходы (в среднем на душу)","Воронежская область",1999,1186,"Cash income (average per capita)","roubles","Living Standards"
"403","Денежные доходы (в среднем на душу)","Ивановская область",1999,756.7,"Cash income (average per capita)","roubles","Living Standards"
"404","Денежные доходы (в среднем на душу)","Калужская область",1999,1028.5,"Cash income (average per capita)","roubles","Living Standards"
"405","Денежные доходы (в среднем на душу)","Костромская область",1999,1034.5,"Cash income (average per capita)","roubles","Living Standards"
"406","Денежные доходы (в среднем на душу)","Курская область",1999,1087.3,"Cash income (average per capita)","roubles","Living Standards"
"407","Денежные доходы (в среднем на душу)","Липецкая область",1999,1185.5,"Cash income (average per capita)","roubles","Living Standards"
"408","Денежные доходы (в среднем на душу)","Московская область",1999,1463.4,"Cash income (average per capita)","roubles","Living Standards"
"409","Денежные доходы (в среднем на душу)","Орловская область",1999,1102.9,"Cash income (average per capita)","roubles","Living Standards"
"410","Денежные доходы (в среднем на душу)","Рязанская область",1999,979,"Cash income (average per capita)","roubles","Living Standards"
"411","Денежные доходы (в среднем на душу)","Смоленская область",1999,1249.4,"Cash income (average per capita)","roubles","Living Standards"
"412","Денежные доходы (в среднем на душу)","Тамбовская область",1999,1112.4,"Cash income (average per capita)","roubles","Living Standards"
"413","Денежные доходы (в среднем на душу)","Тверская область",1999,970.8,"Cash income (average per capita)","roubles","Living Standards"
"414","Денежные доходы (в среднем на душу)","Тульская область",1999,1106.2,"Cash income (average per capita)","roubles","Living Standards"
"415","Денежные доходы (в среднем на душу)","Ярославская область",1999,1303.4,"Cash income (average per capita)","roubles","Living Standards"
"416","Денежные доходы (в среднем на душу)","г.Москва",1999,6003.3,"Cash income (average per capita)","roubles","Living Standards"
"417","Денежные доходы (в среднем на душу)","Северо-Западный федеральный округ",1999,1611.9,"Cash income (average per capita)","roubles","Living Standards"
"418","Денежные доходы (в среднем на душу)","Республика Карелия",1999,1752.3,"Cash income (average per capita)","roubles","Living Standards"
"419","Денежные доходы (в среднем на душу)","Республика Коми",1999,2225.5,"Cash income (average per capita)","roubles","Living Standards"
"420","Денежные доходы (в среднем на душу)","Архангельская область",1999,1434.2,"Cash income (average per capita)","roubles","Living Standards"
"421","Денежные доходы (в среднем на душу)","Ненецкий автономный округ",1999,1904.2,"Cash income (average per capita)","roubles","Living Standards"
"422","Денежные доходы (в среднем на душу)","Вологодская область",1999,1396.2,"Cash income (average per capita)","roubles","Living Standards"
"423","Денежные доходы (в среднем на душу)","Калининградская область",1999,1279.3,"Cash income (average per capita)","roubles","Living Standards"
"424","Денежные доходы (в среднем на душу)","Ленинградская область",1999,1007.6,"Cash income (average per capita)","roubles","Living Standards"
"425","Денежные доходы (в среднем на душу)","Мурманская область",1999,2464.7,"Cash income (average per capita)","roubles","Living Standards"
"426","Денежные доходы (в среднем на душу)","Новгородская область",1999,1375.9,"Cash income (average per capita)","roubles","Living Standards"
"427","Денежные доходы (в среднем на душу)","Псковская область",1999,972.3,"Cash income (average per capita)","roubles","Living Standards"
"428","Денежные доходы (в среднем на душу)","г.Санкт-Петербург",1999,1820.3,"Cash income (average per capita)","roubles","Living Standards"
"429","Денежные доходы (в среднем на душу)","Южный федеральный округ (по 2009 год)",1999,1040.4,"Cash income (average per capita)","roubles","Living Standards"
"431","Денежные доходы (в среднем на душу)","Республика Адыгея",1999,966.9,"Cash income (average per capita)","roubles","Living Standards"
"432","Денежные доходы (в среднем на душу)","Республика Калмыкия",1999,755.1,"Cash income (average per capita)","roubles","Living Standards"
"433","Денежные доходы (в среднем на душу)","Краснодарский край",1999,1143,"Cash income (average per capita)","roubles","Living Standards"
"434","Денежные доходы (в среднем на душу)","Астраханская область",1999,1221.3,"Cash income (average per capita)","roubles","Living Standards"
"435","Денежные доходы (в среднем на душу)","Волгоградская область",1999,1118,"Cash income (average per capita)","roubles","Living Standards"
"436","Денежные доходы (в среднем на душу)","Ростовская область",1999,1211.9,"Cash income (average per capita)","roubles","Living Standards"
"438","Денежные доходы (в среднем на душу)","Республика Дагестан",1999,602.3,"Cash income (average per capita)","roubles","Living Standards"
"439","Денежные доходы (в среднем на душу)","Республика Ингушетия",1999,456,"Cash income (average per capita)","roubles","Living Standards"
"440","Денежные доходы (в среднем на душу)","Кабардино-Балкарская Республика",1999,812.6,"Cash income (average per capita)","roubles","Living Standards"
"441","Денежные доходы (в среднем на душу)","Карачаево-Черкесская Республика",1999,709.4,"Cash income (average per capita)","roubles","Living Standards"
"442","Денежные доходы (в среднем на душу)","Республика Северная Осетия - Алания",1999,1072.3,"Cash income (average per capita)","roubles","Living Standards"
"444","Денежные доходы (в среднем на душу)","Ставропольский край",1999,1041.5,"Cash income (average per capita)","roubles","Living Standards"
"445","Денежные доходы (в среднем на душу)","Приволжский федеральный округ",1999,1249.5,"Cash income (average per capita)","roubles","Living Standards"
"446","Денежные доходы (в среднем на душу)","Республика Башкортостан",1999,1244.1,"Cash income (average per capita)","roubles","Living Standards"
"447","Денежные доходы (в среднем на душу)","Республика Марий Эл",1999,817.3,"Cash income (average per capita)","roubles","Living Standards"
"448","Денежные доходы (в среднем на душу)","Республика Мордовия",1999,839.9,"Cash income (average per capita)","roubles","Living Standards"
"449","Денежные доходы (в среднем на душу)","Республика Татарстан",1999,1244.2,"Cash income (average per capita)","roubles","Living Standards"
"450","Денежные доходы (в среднем на душу)","Удмуртская Республика",1999,1058.4,"Cash income (average per capita)","roubles","Living Standards"
"451","Денежные доходы (в среднем на душу)","Чувашская Республика",1999,830.2,"Cash income (average per capita)","roubles","Living Standards"
"452","Денежные доходы (в среднем на душу)","Пермский край",1999,1671.5,"Cash income (average per capita)","roubles","Living Standards"
"453","Денежные доходы (в среднем на душу)","Коми-Пермяцкий авт.округ",1999,553.3,"Cash income (average per capita)","roubles","Living Standards"
"454","Денежные доходы (в среднем на душу)","Кировская область",1999,1006.2,"Cash income (average per capita)","roubles","Living Standards"
"455","Денежные доходы (в среднем на душу)","Нижегородская область",1999,1172.3,"Cash income (average per capita)","roubles","Living Standards"
"456","Денежные доходы (в среднем на душу)","Оренбургская область",1999,1084.2,"Cash income (average per capita)","roubles","Living Standards"
"457","Денежные доходы (в среднем на душу)","Пензенская область",1999,953.5,"Cash income (average per capita)","roubles","Living Standards"
"458","Денежные доходы (в среднем на душу)","Самарская область",1999,2031.8,"Cash income (average per capita)","roubles","Living Standards"
"459","Денежные доходы (в среднем на душу)","Саратовская область",1999,1118.3,"Cash income (average per capita)","roubles","Living Standards"
"460","Денежные доходы (в среднем на душу)","Ульяновская область",1999,998.9,"Cash income (average per capita)","roubles","Living Standards"
"461","Денежные доходы (в среднем на душу)","Уральский федеральный округ",1999,1839.4,"Cash income (average per capita)","roubles","Living Standards"
"462","Денежные доходы (в среднем на душу)","Курганская область",1999,948.8,"Cash income (average per capita)","roubles","Living Standards"
"463","Денежные доходы (в среднем на душу)","Свердловская область",1999,1470.6,"Cash income (average per capita)","roubles","Living Standards"
"464","Денежные доходы (в среднем на душу)","Тюменская область",1999,3265.6,"Cash income (average per capita)","roubles","Living Standards"
"465","Денежные доходы (в среднем на душу)","Ханты-Мансийский автономный округ-Югра",1999,4274.2,"Cash income (average per capita)","roubles","Living Standards"
"466","Денежные доходы (в среднем на душу)","Ямало-Ненецкий автономный округ",1999,5152.5,"Cash income (average per capita)","roubles","Living Standards"
"467","Денежные доходы (в среднем на душу)","Челябинская область",1999,1307,"Cash income (average per capita)","roubles","Living Standards"
"468","Денежные доходы (в среднем на душу)","Сибирский федеральный округ",1999,1386.3,"Cash income (average per capita)","roubles","Living Standards"
"469","Денежные доходы (в среднем на душу)","Республика Алтай",1999,865.6,"Cash income (average per capita)","roubles","Living Standards"
"470","Денежные доходы (в среднем на душу)","Республика Бурятия",1999,1176.9,"Cash income (average per capita)","roubles","Living Standards"
"471","Денежные доходы (в среднем на душу)","Республика Тыва",1999,797.2,"Cash income (average per capita)","roubles","Living Standards"
"472","Денежные доходы (в среднем на душу)","Республика Хакасия",1999,1347,"Cash income (average per capita)","roubles","Living Standards"
"473","Денежные доходы (в среднем на душу)","Алтайский край",1999,907.4,"Cash income (average per capita)","roubles","Living Standards"
"474","Денежные доходы (в среднем на душу)","Забайкальский край",1999,914.2,"Cash income (average per capita)","roubles","Living Standards"
"475","Денежные доходы (в среднем на душу)","Агинский Бурятский авт.округ",1999,607.9,"Cash income (average per capita)","roubles","Living Standards"
"476","Денежные доходы (в среднем на душу)","Красноярский край",1999,1953.6,"Cash income (average per capita)","roubles","Living Standards"
"477","Денежные доходы (в среднем на душу)","Таймырский (Долгано-Ненецкий) авт.округ",1999,2236.9,"Cash income (average per capita)","roubles","Living Standards"
"478","Денежные доходы (в среднем на душу)","Эвенкийский авт.окpуг",1999,1546.3,"Cash income (average per capita)","roubles","Living Standards"
"479","Денежные доходы (в среднем на душу)","Иркутская область",1999,1766.8,"Cash income (average per capita)","roubles","Living Standards"
"480","Денежные доходы (в среднем на душу)","Усть-Ордынский Бурятский авт.округ",1999,506.3,"Cash income (average per capita)","roubles","Living Standards"
"481","Денежные доходы (в среднем на душу)","Кемеровская область",1999,1522.6,"Cash income (average per capita)","roubles","Living Standards"
"482","Денежные доходы (в среднем на душу)","Новосибирская область",1999,1248,"Cash income (average per capita)","roubles","Living Standards"
"483","Денежные доходы (в среднем на душу)","Омская область",1999,1145.9,"Cash income (average per capita)","roubles","Living Standards"
"484","Денежные доходы (в среднем на душу)","Томская область",1999,1505.1,"Cash income (average per capita)","roubles","Living Standards"
"485","Денежные доходы (в среднем на душу)","Дальневосточный федеральный округ",1999,1881.5,"Cash income (average per capita)","roubles","Living Standards"
"486","Денежные доходы (в среднем на душу)","Республика Саха (Якутия)",1999,3046.6,"Cash income (average per capita)","roubles","Living Standards"
"487","Денежные доходы (в среднем на душу)","Камчатский край",1999,2581.7,"Cash income (average per capita)","roubles","Living Standards"
"488","Денежные доходы (в среднем на душу)","Корякский автономный  округ",1999,3106.2,"Cash income (average per capita)","roubles","Living Standards"
"489","Денежные доходы (в среднем на душу)","Приморский край",1999,1356.4,"Cash income (average per capita)","roubles","Living Standards"
"490","Денежные доходы (в среднем на душу)","Хабаровский край",1999,1908.3,"Cash income (average per capita)","roubles","Living Standards"
"491","Денежные доходы (в среднем на душу)","Амурская область",1999,1387.6,"Cash income (average per capita)","roubles","Living Standards"
"492","Денежные доходы (в среднем на душу)","Магаданская область",1999,2816.5,"Cash income (average per capita)","roubles","Living Standards"
"493","Денежные доходы (в среднем на душу)","Сахалинская область",1999,1992.6,"Cash income (average per capita)","roubles","Living Standards"
"494","Денежные доходы (в среднем на душу)","Еврейская автономная область",1999,1041.2,"Cash income (average per capita)","roubles","Living Standards"
"495","Денежные доходы (в среднем на душу)","Чукотский автономный округ",1999,3034.6,"Cash income (average per capita)","roubles","Living Standards"
"496","Денежные доходы (в среднем на душу)","Российская Федерация",2000,2281.1,"Cash income (average per capita)","roubles","Living Standards"
"497","Денежные доходы (в среднем на душу)","Центральный федеральный округ",2000,3230.6,"Cash income (average per capita)","roubles","Living Standards"
"498","Денежные доходы (в среднем на душу)","Белгородская область",2000,1554.5,"Cash income (average per capita)","roubles","Living Standards"
"499","Денежные доходы (в среднем на душу)","Брянская область",2000,1312.1,"Cash income (average per capita)","roubles","Living Standards"
"500","Денежные доходы (в среднем на душу)","Владимирская область",2000,1279.6,"Cash income (average per capita)","roubles","Living Standards"
"501","Денежные доходы (в среднем на душу)","Воронежская область",2000,1486.5,"Cash income (average per capita)","roubles","Living Standards"
"502","Денежные доходы (в среднем на душу)","Ивановская область",2000,1037.6,"Cash income (average per capita)","roubles","Living Standards"
"503","Денежные доходы (в среднем на душу)","Калужская область",2000,1311.3,"Cash income (average per capita)","roubles","Living Standards"
"504","Денежные доходы (в среднем на душу)","Костромская область",2000,1438.9,"Cash income (average per capita)","roubles","Living Standards"
"505","Денежные доходы (в среднем на душу)","Курская область",2000,1464.9,"Cash income (average per capita)","roubles","Living Standards"
"506","Денежные доходы (в среднем на душу)","Липецкая область",2000,1772,"Cash income (average per capita)","roubles","Living Standards"
"507","Денежные доходы (в среднем на душу)","Московская область",2000,1823.9,"Cash income (average per capita)","roubles","Living Standards"
"508","Денежные доходы (в среднем на душу)","Орловская область",2000,1414.5,"Cash income (average per capita)","roubles","Living Standards"
"509","Денежные доходы (в среднем на душу)","Рязанская область",2000,1265.2,"Cash income (average per capita)","roubles","Living Standards"
"510","Денежные доходы (в среднем на душу)","Смоленская область",2000,1720.2,"Cash income (average per capita)","roubles","Living Standards"
"511","Денежные доходы (в среднем на душу)","Тамбовская область",2000,1508.6,"Cash income (average per capita)","roubles","Living Standards"
"512","Денежные доходы (в среднем на душу)","Тверская область",2000,1253.7,"Cash income (average per capita)","roubles","Living Standards"
"513","Денежные доходы (в среднем на душу)","Тульская область",2000,1486,"Cash income (average per capita)","roubles","Living Standards"
"514","Денежные доходы (в среднем на душу)","Ярославская область",2000,1804.2,"Cash income (average per capita)","roubles","Living Standards"
"515","Денежные доходы (в среднем на душу)","г.Москва",2000,7998.3,"Cash income (average per capita)","roubles","Living Standards"
"516","Денежные доходы (в среднем на душу)","Северо-Западный федеральный округ",2000,2268.9,"Cash income (average per capita)","roubles","Living Standards"
"517","Денежные доходы (в среднем на душу)","Республика Карелия",2000,2313.2,"Cash income (average per capita)","roubles","Living Standards"
"518","Денежные доходы (в среднем на душу)","Республика Коми",2000,3140.8,"Cash income (average per capita)","roubles","Living Standards"
"519","Денежные доходы (в среднем на душу)","Архангельская область",2000,2139.5,"Cash income (average per capita)","roubles","Living Standards"
"520","Денежные доходы (в среднем на душу)","Ненецкий автономный округ",2000,3426.3,"Cash income (average per capita)","roubles","Living Standards"
"521","Денежные доходы (в среднем на душу)","Вологодская область",2000,2022.8,"Cash income (average per capita)","roubles","Living Standards"
"522","Денежные доходы (в среднем на душу)","Калининградская область",2000,1843.3,"Cash income (average per capita)","roubles","Living Standards"
"523","Денежные доходы (в среднем на душу)","Ленинградская область",2000,1354.9,"Cash income (average per capita)","roubles","Living Standards"
"524","Денежные доходы (в среднем на душу)","Мурманская область",2000,3550.1,"Cash income (average per capita)","roubles","Living Standards"
"525","Денежные доходы (в среднем на душу)","Новгородская область",2000,1807.5,"Cash income (average per capita)","roubles","Living Standards"
"526","Денежные доходы (в среднем на душу)","Псковская область",2000,1374.8,"Cash income (average per capita)","roubles","Living Standards"
"527","Денежные доходы (в среднем на душу)","г.Санкт-Петербург",2000,2555.6,"Cash income (average per capita)","roubles","Living Standards"
"528","Денежные доходы (в среднем на душу)","Южный федеральный округ (по 2009 год)",2000,1429.3,"Cash income (average per capita)","roubles","Living Standards"
"530","Денежные доходы (в среднем на душу)","Республика Адыгея",2000,1385.3,"Cash income (average per capita)","roubles","Living Standards"
"531","Денежные доходы (в среднем на душу)","Республика Калмыкия",2000,979,"Cash income (average per capita)","roubles","Living Standards"
"532","Денежные доходы (в среднем на душу)","Краснодарский край",2000,1563.4,"Cash income (average per capita)","roubles","Living Standards"
"533","Денежные доходы (в среднем на душу)","Астраханская область",2000,1778.6,"Cash income (average per capita)","roubles","Living Standards"
"534","Денежные доходы (в среднем на душу)","Волгоградская область",2000,1577.6,"Cash income (average per capita)","roubles","Living Standards"
"535","Денежные доходы (в среднем на душу)","Ростовская область",2000,1653.3,"Cash income (average per capita)","roubles","Living Standards"
"537","Денежные доходы (в среднем на душу)","Республика Дагестан",2000,861.3,"Cash income (average per capita)","roubles","Living Standards"
"538","Денежные доходы (в среднем на душу)","Республика Ингушетия",2000,587.2,"Cash income (average per capita)","roubles","Living Standards"
"539","Денежные доходы (в среднем на душу)","Кабардино-Балкарская Республика",2000,1057.1,"Cash income (average per capita)","roubles","Living Standards"
"540","Денежные доходы (в среднем на душу)","Карачаево-Черкесская Республика",2000,1039.5,"Cash income (average per capita)","roubles","Living Standards"
