Реальный размер назначенных пенсий,        Кировская область,114.10,107.60,111.60,103.70,102.90,102.40
Реальный размер назначенных пенсий,        Нижегородская область,110.60,107.60,112.00,104.70,102.70,102.90
Реальный размер назначенных пенсий,        Оренбургская область,116.00,109.40,111.20,105.10,103.40,103.80
Реальный размер назначенных пенсий,        Пензенская область,113.70,106.30,110.50,104.70,103.70,103.40
Реальный размер назначенных пенсий,        Самарская область,115.10,109.80,113.70,105.30,103.60,104.30
Реальный размер назначенных пенсий,        Саратовская область,115.30,109.40,112.70,105.00,103.10,103.20
Реальный размер назначенных пенсий,        Ульяновская область,113.70,108.20,111.10,104.20,103.00,102.70
Реальный размер назначенных пенсий,    Уральский федеральный округ,116.40,111.10,111.90,105.00,103.70,104.00
Реальный размер назначенных пенсий,        Курганская область,115.30,107.60,111.60,103.90,102.50,103.50
Реальный размер назначенных пенсий,        Свердловская область,114.00,108.20,112.10,104.80,102.80,103.10
Реальный размер назначенных пенсий,        Тюменская область,118.90,113.30,112.20,106.40,104.70,104.70
Реальный размер назначенных пенсий,            Ханты-Мансийский автономный округ-Югра,118.70,115.00,112.00,105.50,104.90,104.50
Реальный размер назначенных пенсий,            Ямало-Ненецкий автономный округ,116.40,113.10,111.80,107.10,106.10,102.90
Реальный размер назначенных пенсий,            Тюменская область (без АО),,,,,,105.40
Реальный размер назначенных пенсий,        Челябинская область,115.90,111.50,111.30,103.40,103.60,103.90
Реальный размер назначенных пенсий,    Сибирский федеральный округ,117.00,108.90,112.60,104.10,103.20,103.70
Реальный размер назначенных пенсий,        Республика Алтай,120.70,104.90,108.30,103.50,102.60,102.10
Реальный размер назначенных пенсий,        Республика Бурятия,119.70,108.40,111.30,103.00,103.10,102.50
Реальный размер назначенных пенсий,        Республика Тыва,122.50,106.30,106.30,104.20,103.30,104.00
Реальный размер назначенных пенсий,        Республика Хакасия,117.70,107.40,111.60,103.50,103.80,104.20
Реальный размер назначенных пенсий,        Алтайский край,115.60,106.30,112.10,105.00,102.20,102.60
Реальный размер назначенных пенсий,        Забайкальский край,117.50,108.90,110.30,103.10,104.50,101.80
Реальный размер назначенных пенсий,                Агинский Бурятский авт.округ,114.30,,,,,
Реальный размер назначенных пенсий,        Красноярский край,118.80,110.40,113.20,104.50,103.20,104.80
Реальный размер назначенных пенсий,        Иркутская область,115.70,108.50,111.00,103.10,103.50,104.40
