Объем валового регионального продукта в расчете на одного жителя субъекта Российской Федерации;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
    Северо-Западный федеральный округ;        рубль;;;16592,8;27948,9;40564,9;50157,8;63297,1;78466,3;106667,8;130846,1;160590,9;202974,4;248742,7;251018,3;289611,4;350764,2;384165,9
        Республика Карелия;        рубль;11561,1;12871,6;15055,1;27099,9;38539,2;46499,2;57575,7;65708;77509,7;112950,3;125613,2;157959;175465,8;162649,3;186651,2;241688;253800,8
        Республика Коми;        рубль;16999,7;21659,7;26798,7;41025;56619,5;75534,6;84101,9;106304,1;132733,1;176075,2;229053,7;256586,2;314251,6;329967,4;390740,4;487363,5;543089,8
        Архангельская область;        рубль;12218,6;14133,4;15755,3;25622,9;44797,4;49474;61989,4;78507;109045,7;128965,3;169458,4;212908,3;231492,8;260584,7;302801,3;360165,9;387959
            Ненецкий автономный округ;        рубль;;;;;;;;;;;;;;;;3913588,7;3841049,3
            Архангельская область (без АО);        рубль;;;;;;;;;;;;;;;;232540,7;261685,5
        Вологодская область;        рубль;14189,5;14862,7;18080,3;34471;53432,8;50934,4;63433,6;85259,1;129015,6;156379,7;164130,2;199003;242347,7;176179,2;217826,8;269252,8;297377,7
        Калининградская область;        рубль;7704,7;8229,3;8783,5;16270,4;24308,8;33797,4;42019,6;49167,4;70426;87122,8;110255,4;153964;191533,4;180797,2;208193,2;255217,8;278319,2
        Ленинградская область;        рубль;10039,7;10569,5;12708;23516,4;33265,1;45248,2;56738,1;72578,7;99230;122024,2;157122,1;182657,9;226011;252890,9;286435,4;336981,3;386747,8
        Мурманская область;        рубль;15833,2;18427,8;23233,5;43012,3;59157,8;62965,4;76236,9;91442,1;144469,3;156652,5;190124,3;233765,5;263755,5;251956,9;292926,1;333511,6;357478,8
        Новгородская область;        рубль;9561;10009;12860,3;21772,7;29347;38975,3;45178,5;55387,3;72549,3;95286,2;113246,4;132334,8;177472,4;183196,9;200248,6;243031,9;274474,3
        Псковская область;        рубль;6963,5;7575,5;7616,8;13947,2;20544,7;25031,4;31547,3;39190,7;48358,5;55772,9;72029,1;87456,7;105449;108797,9;128685,1;150199,9;162885,8
        г.Санкт-Петербург;        рубль;13066,7;14800;18024,9;28247;39811,1;53525,3;72059,8;87919,3;116030,9;141795,6;174432,8;235410,3;299436;306454,8;349253,6;424643,7;459261,2
    Южный федеральный округ (по 2009 год);        рубль;;;9529,7;16313;23417,9;30388,9;37122,4;44264,7;55359,6;67870,2;86983,6;114980,8;145921,7;145007,2;;;
    Южный федеральный  округ (с 2010 года);        рубль;;;;;;;;44227;55215,5;67566;86428,1;114085,8;144633,8;144046;168773,2;200306,5;227618,4
        Республика Адыгея;        рубль;5207,4;5814,9;6907,7;10061,7;12315,1;14858,6;17707,5;22091,7;28133,2;38514,5;48050,2;66366,2;82378,2;94436,5;107297,5;128749,3;147117,4
        Республика Калмыкия;        рубль;3911,5;4752,6;4899,8;7104,1;20183,7;22261,8;24676,8;22394,9;29105,7;33017,9;43797,2;58925,2;71450,7;82586,8;84359,4;101873,2;119182,5
        Краснодарский край;        рубль;8455,9;8538,6;10063,7;19267,7;26713,9;34912,4;42477,6;48572,8;61291,7;72794,1;94244;125700,4;155103,6;165555,1;196914,3;236750,6;271035,4
        Астраханская область;        рубль;7643,9;8559,6;10172,2;15805,2;27815,3;32037,2;40786,8;50386,3;56357,5;69814;84950;99999,4;146391;133018,5;143388,8;170504,7;208328,8
        Волгоградская область;        рубль;9799,8;10447,4;11000,6;16181,9;23340,8;30513,2;38617,7;47934,1;57928;76740,6;95683,4;126313,1;159001,5;144303,4;166028,8;195463,7;221677,3
        Ростовская область;        рубль;6609,4;7493,3;8455;14380,4;20003,8;26817,8;31941,7;39180,4;50678,6;60575;78642;104603,1;134137,4;129626;154127,9;179470,3;197358,8
    Северо-Кавказский федеральный округ;        рубль;;;6807,6;9850,7;13802,7;18408,8;22374,6;28078,5;35083,2;39050,8;50434,2;62724,1;78921,5;84493,9;94915,3;112647,6;127640
        Республика Дагестан;        рубль;2722,1;3888,4;3589,4;5383,3;8489,7;12562,3;16195,5;22168,7;30629,6;33839,8;45741,7;56812,6;77033,8;90542,5;94883,6;113034,2;128639,7
        Республика Ингушетия;        рубль;2405,1;3317,1;3428,9;5098;6667,9;8000,7;7751,7;10332,4;14024,9;17435,1;21922,4;41340,7;47002,3;46174,4;48239,2;63569,7;84532,9
        Кабардино-Балкарская Республика;        рубль;5131,4;5459,2;6611,7;11057,3;15948,9;21834,2;25369,9;29036,2;32884,8;42253,1;50225,2;57011,8;67731,3;76451,1;89668,3;105412,7;123389,8
        Карачаево-Черкесская Республика;        рубль;5435,4;5703;6391,3;9550,5;12404,2;16639,7;23297,3;25999;29348,9;36971,7;50778,7;59200,9;76277,2;81758,5;91782,3;103462,3;125750,5
        Республика Северная Осетия - Алания;        рубль;4538,4;4796,8;5727,5;9835,2;11964,5;17914,2;22541,2;26705,1;34323,6;44127,2;61229,6;74356,6;81097;90040,7;105781,6;120824,3;140924,6
        Чеченская Республика;        рубль;;;;;;;;;;20038,4;27831,4;40572,6;54742,1;51981,3;55995,7;67220,5;78934,2
        Ставропольский край;        рубль;7718,6;8833,8;10363,8;14018,6;19603,9;24780,1;29453,4;37058;44610;53414,6;66136,4;80715,3;99503,3;99994,7;118920,6;142409,2;154529,6
    Приволжский федеральный округ;        рубль;;;13489,1;22204,5;32791,7;41139,5;47526,3;58324,4;74218,8;91573,6;115727,9;143365,7;176879,4;163958,3;190719,5;236240,2;265544,3
        Республика Башкортостан;        рубль;12454,1;14086;13745;23709,8;35245,9;40609,7;45756;59274,3;76042,5;93683,1;124439,6;145543,9;183168,7;159428,7;186522;231314;284068,3
        Республика Марий Эл;        рубль;6293,8;7522,7;8156,1;12369,4;15114,8;20502,6;24411,2;31719;41757,6;46589,5;61413;77919,2;93512,4;98888,9;118110,4;140243,8;170089
        Республика Мордовия;        рубль;7777,3;8509,1;8963,9;13176,5;19219,8;24473,2;30848,9;37681,7;43807,6;50982,6;67309,8;90138,7;110877,3;107903,3;125975,5;144636;161158,7
        Республика Татарстан;        рубль;14061,5;14849;17366,3;28593,4;49139,3;56479,2;66298,7;80809,2;103726,8;128226,9;161045,9;201172,1;245628,5;234206,4;264561,7;344092,5;376889,2
        Удмуртская Республика;        рубль;10571,8;11868,5;11807,2;21642,8;33488,8;41407;49800,6;56904,4;64732,3;90316,3;106891;133904,7;158850,7;151268,7;180316,9;221152,7;244746,2
