item,Сумма,Республика Адыгея (Адыгея),Республика Алтай,Республика Башкортостан,Республика Бурятия,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Республика Калмыкия,Карачаево-Черкесская Республика,Республика Карелия,Республика Коми,Республика Марий Эл,Республика Мордовия,Республика Саха (Якутия),Республика Северная Осетия - Алания,Республика Татарстан (Татарстан),Республика Тыва,Удмуртская Республика,Республика Хакасия,Чеченская Республика,Чувашская Республика - Чувашия,Алтайский край,Забайкальский край,Камчатский край,Краснодарский край,Красноярский край,Пермский край,Приморский край,Ставропольский край,Хабаровский край,Амурская область,Архангельская область,Астраханская область,Белгородская область,Брянская область,Владимирская область,Волгоградская область,Вологодская область,Воронежская область,Ивановская область,Иркутская область,Калининградская область,Калужская область,Кемеровская область,Кировская область,Костромская область,Курганская область,Курская область,Ленинградская область,Липецкая область,Магаданская область,Московская область,Мурманская область,Нижегородская область,Новгородская область,Новосибирская область,Омская область,Оренбургская область,Орловская область,Пензенская область,Псковская область,Ростовская область,Рязанская область,Самарская область,Саратовская область,Сахалинская область,Свердловская область,Смоленская область,Тамбовская область,Тверская область,Томская область,Тульская область,Тюменская область,Ульяновская область,Челябинская область,Ярославская область,Город Москва,Город Санкт-Петербург,Еврейская автономная область,Ненецкий автономный округ,Ханты-Мансийский автономный округ - Югра,Чукотский автономный округ,Ямало-Ненецкий автономный округ,Город Байконур (Республика Казахстан),Территория за пределами РФ
Number of voters included in the voters list ,109860331,342734,151462,3014076,629009,1563650,192867,528147,214497,319473,558774,750661,537932,649355,614351,512245,2866307,159341,1218251,382578,615441,954572,1961328,831712,256522,3803307,2192321,2124064,1542897,1983954,1056125,662320,988678,769608,1210590,1045083,1202174,2003455,987574,1918524,866474,1915179,771553,798196,2076673,1125794,567472,751903,947765,1281947,954695,118184,5779495,673986,2777766,528561,2139313,1581347,1658644,661601,1123840,578498,3315673,967998,2562916,1991376,398893,3527808,816276,884888,1137087,787075,1249121,1056505,1048667,2757879,1056948,7309869,3849426,135703,37434,1104365,35968,358834,15116,459661
The number of ballots received by the precinct election commission ,103567183,331113,148573,2936623,557849,1512284,191797,528715,216039,319347,526666,678907,548824,660616,576225,502216,2784079,170968,1171251,368677,616059,914412,1847223,791006,253530,3718014,2083455,1895001,1438611,1883675,1029764,604418,940195,711396,1162423,1018326,1121756,1870396,932549,1847583,807219,1814868,647690,765468,1984051,1088191,516324,737830,868282,1174444,894099,117005,5174074,618825,2574644,507084,2042636,1497851,1603709,653969,1093571,525710,3077251,916474,2411770,1954735,367435,3172114,797130,831899,1034498,694369,1207029,1035935,965236,2491707,910335,6310964,3172872,135786,30975,1038145,35170,360980,10642,1485627
The number of ballots issued to voters who voted early ,239569,0,1175,0,2406,105,828,0,0,0,785,25178,0,0,6514,1824,0,5351,0,307,7131,0,67,204,1399,0,8826,2440,2426,0,2655,1938,3412,332,0,0,0,0,0,0,568,624,0,263,573,128,16,0,0,63,0,2002,0,1154,97,0,0,0,354,0,0,0,0,0,0,641,2862,4242,0,0,509,1571,0,3627,0,42,0,0,0,143,3914,22395,1814,33058,0,83606
The number of ballots issued to the polling station on election day ,65639398,196476,94827,2103332,382590,1365071,162400,364929,118924,275746,294530,475847,340911,507020,422767,383143,2229176,126860,748088,228266,600550,651571,1102078,456073,150640,2326048,1232377,1079331,951722,1011831,615111,374452,541349,395123,792358,611913,581067,1086093,557918,1091534,441913,1006651,444127,460691,1459466,625623,316090,437021,539373,747456,548249,64819,3339027,395978,1643264,283775,1277365,916421,945868,388158,661147,300770,1897307,549952,1433949,1165847,214210,1974954,432392,497846,589948,434982,712241,781433,610463,1612103,612466,4105661,2306550,74331,19015,667872,26540,296855,10465,338722
The number of ballots issued outside the polling station on election day ,5901833,24100,5889,198762,31232,59720,3535,20924,14108,15874,14239,25516,40392,75116,28787,29007,150386,15387,36431,19052,5389,51460,73701,42534,4663,368361,63864,88818,39713,184662,36491,23564,30763,37838,107697,89308,57238,193096,51114,213377,77475,65842,13566,46176,183871,64771,32645,45488,67515,63966,78372,2895,213334,11516,218387,26338,75987,59199,68873,62172,104574,53509,217367,71345,124415,159214,11358,95523,49699,123155,77394,21924,156419,51823,56008,119494,59116,159099,90477,4946,470,17441,1078,5354,177,19958
The number of canceled ballots ,31785750,110537,46680,634499,141619,87386,25034,142862,83006,27727,217112,152365,167521,78473,118157,88243,404517,23369,386731,121052,2989,211375,671375,292195,96826,1023605,778385,724408,444748,687182,375497,204464,364670,278103,262368,317105,483447,591203,323517,542672,287263,741751,189969,258338,340141,397666,167573,255321,261393,362918,267477,47289,1621427,210163,712856,196971,689283,522230,588607,203639,327851,171431,962574,295177,853401,628990,139005,1097390,315039,210898,366644,235892,338369,199050,298765,760035,238753,2046190,775833,56366,7576,330436,5738,25713,0,1043335
The number of ballots in mobile ballot boxes ,6139277,24099,7050,198730,33636,59567,4363,20924,14108,15874,15023,50681,40388,75113,35294,30359,150372,20735,36431,19351,12520,51459,73770,42734,6060,368320,72659,91255,42135,184654,39141,25498,34172,38134,107696,89305,57237,193088,51111,213348,78032,66465,13566,46438,184404,64896,32660,45487,67513,63980,78372,4897,213241,12665,218452,26340,75985,59156,69224,62171,104573,53505,217292,71317,124411,159787,14219,99739,49698,123149,77898,23493,156415,55441,56004,119527,59115,158721,90407,5088,4384,39835,2891,38392,177,103461
The number of ballots in the stationary ballot boxes ,65562388,196382,94805,2101528,382468,1364937,162400,364862,118894,275746,294416,475099,340760,506594,422403,383071,2228532,126845,747974,228128,600550,651498,1101660,455673,150587,2323770,1231187,1078954,947534,1011086,614856,374206,540842,394469,792277,610543,580773,1085328,557484,1090996,441207,1006258,443917,460495,1458176,625289,315929,436904,539204,746777,548163,64789,3332127,394646,1639501,283630,1276741,915673,945713,387980,660968,300461,1895888,549650,1433256,1163374,214131,1974244,432251,496942,589598,434818,711154,780738,610155,1609872,611857,4088717,2298160,74325,19008,667669,26446,296570,10430,338470
Number of invalid ballots ,836691,2967,1141,17592,4921,5155,428,418,1242,631,3839,6970,3984,3796,3978,3995,17322,860,9048,2819,876,10465,12004,5271,1951,32893,16279,16562,13796,12448,8733,4708,5522,5107,10209,6922,8484,12696,6596,13073,5338,12186,5712,6327,16002,7864,3076,4314,6350,10664,7751,769,61332,4752,17366,3556,16410,12644,10212,5102,9688,3880,21742,6508,20828,12400,2846,25560,5843,5570,7076,5194,8862,6915,6926,25366,7569,87698,33331,1208,304,8829,428,2669,185,5838
Number of valid ballots ,70864974,217514,100714,2282666,411183,1419349,166335,385368,131760,290989,305600,518810,377164,577911,453719,409435,2361582,146720,775357,244660,612194,692492,1163426,493136,154696,2659197,1287567,1153647,975873,1183292,645264,394996,569492,427496,889764,692926,629526,1265720,601999,1291271,513901,1060537,451771,500606,1626578,682321,345513,478077,600367,800093,618784,68917,3484036,402559,1840587,306414,1336316,962185,1004725,445049,755853,350086,2091438,614459,1536839,1310761,225504,2048423,476106,614521,660420,453117,858707,829264,659233,1704033,663403,4159740,2355236,78205,23088,698675,28909,332293,10422,436093
The number of absentee ballots received ,2257205,2188,2762,61722,17220,2490,1261,1805,7525,1113,7907,21737,28391,18909,13874,13818,52162,2238,23730,9301,1516,51994,21497,18563,2415,86293,35566,33688,32652,18214,23188,13817,14131,20168,24131,10116,22519,45413,21059,42996,21261,44678,9567,26266,49708,30641,10552,19989,18925,24784,11877,1737,92450,8088,57155,11132,50433,34614,15006,15354,21762,11748,84429,20700,37937,63690,6317,63399,16171,14146,26539,13804,38626,28771,38935,59643,19268,185486,75390,4291,453,24542,1188,10389,280,4995
The number of absentee ballots issued to voters at a polling station ,1979696,1591,1680,60594,12631,513,376,1268,6771,352,5281,18467,26517,18168,10946,12052,45231,1806,20295,8176,906,51258,16022,13480,1493,82109,26323,25452,30206,15056,20787,8854,10846,9602,21698,10022,15797,42209,16537,42791,20642,32616,7965,25343,48140,22992,9582,19681,16823,22915,11773,883,91049,5986,51884,8435,45397,26634,14595,12017,19762,8086,77202,19291,33349,60756,5025,50837,14629,12151,23602,9319,37097,25884,35833,52599,15679,168971,67298,2587,148,20608,549,8167,71,681
The number of voters who voted with absentee ballots ,1600046,941,1520,33798,9868,404,237,660,4119,363,4118,16276,13826,8839,7996,6082,31471,1167,14383,5546,2086,28990,14821,10368,1211,61926,21567,21073,26498,14618,15875,7498,8811,7698,15797,23891,10648,36088,12924,33311,19661,21200,7191,13345,31143,15775,9587,11086,12432,23300,7140,634,113692,6154,46018,6053,36374,19064,14832,7690,13964,5867,59520,16119,28079,42878,4299,43638,10157,9696,17455,7334,21733,20528,15759,45913,11874,168435,58434,2001,328,20801,554,4732,80,10184
The number of unused absentee ballots ,277475,597,1082,1128,4589,1977,885,537,754,761,2626,3270,1874,741,2928,1766,6931,432,3435,1125,610,732,5475,5083,922,4184,9243,8236,2445,3158,2401,4963,3285,10566,2433,94,6722,3202,4522,205,619,12062,1602,923,1568,7649,970,308,2100,1869,104,854,1398,2102,5266,2697,5035,7980,411,3337,2000,3662,7227,1409,4588,2934,1292,12562,1541,1995,2937,4485,1529,2887,3102,7042,3589,16503,8091,1704,305,3934,639,2222,209,4314
The number of absentee ballots issued to voters TEC ,187217,94,164,8127,498,20,24,101,383,26,394,2340,740,510,775,1137,1349,153,602,823,459,5933,1053,871,566,11187,2018,1288,4859,1239,1064,719,723,738,717,18884,1245,3641,1442,3486,3542,1518,458,1551,5258,1725,752,1002,1585,1571,619,198,12257,1565,1772,563,3658,1092,4208,669,642,552,4573,1232,3167,5700,559,2368,458,1916,2050,441,5582,2652,1094,3690,294,10640,5391,99,13,5236,259,2640,14,0
Number of lost absentee ballots ,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,12,1,0,0,0,0,0,0,0
