Уровень безработицы (по методологии МОТ),,,,,,,,,,,
,,,,,,,,,,,
,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
,значение показателя за год,значение показателя за год,значение показателя за год,значение показателя за год,значение показателя за год,значение показателя за год,значение показателя за год,значение показателя за год,значение показателя за год,значение показателя за год,значение показателя за год
        Кировская область,"7,3","8,6","7,2","7,9","5,8","7,2","10,9","8,6","8,3","7,1","5,6"
        Нижегородская область,"6,2","7,4",6,"5,4","4,5","5,7","7,5","7,7","7,2","5,4","4,3"
        Оренбургская область,"11,3",11,"9,2","6,4","7,1","6,9","8,8","7,2","6,3","5,4","4,9"
        Пензенская область,"9,2","6,7","6,6","6,4","5,2","7,6","8,1","6,4","5,4","4,9","4,8"
        Самарская область,"4,4","5,3","5,4","4,2","4,1","4,2","6,1","5,8","5,1","3,4","3,2"
        Саратовская область,"10,6",10,"9,2","8,2",8,"7,8","8,8","6,3",6,"5,4","5,2"
        Ульяновская область,"7,3","9,5","7,7","6,8","4,6",7,"8,9","8,8","6,8","5,6","5,5"
    Уральский федеральный округ,"7,4","7,4","6,7","6,8","4,9","5,5","8,1",8,"6,8",6,"5,7"
        Курганская область,"9,4","12,4","11,4","12,2","8,5","9,3","13,2","12,1",10,"8,7","7,5"
        Свердловская область,"7,6","7,3","6,8",7,"5,2","4,8","8,2","8,4","7,2","5,8","5,9"
        Тюменская область,"8,3","8,6","6,7","6,9","5,9","6,7","6,8","6,9","5,8","5,2","4,7"
            Ханты-Мансийский автономный округ-Югра,"9,3","9,6","7,9","6,3","7,6","7,8","6,9","7,5","6,3","5,5","4,9"
            Ямало-Ненецкий автономный округ,"5,6","6,3","7,2","5,5","2,8","5,9","4,5","4,3","3,5","3,4","3,2"
            Тюменская область (без АО),,,,,,,,,,,"5,2"
        Челябинская область,"5,9","5,1","5,3","5,1","2,5","4,3",8,"7,5","6,6","6,4",6
    Сибирский федеральный округ,"11,4","9,9","9,3","8,7","7,6","8,3","10,5","8,7","8,1","7,1","7,2"
        Республика Алтай,"10,2","9,6","9,4","11,4","8,9","12,6","13,6","12,2","12,8","11,6","11,5"
        Республика Бурятия,"17,8","15,3","12,2","14,2","13,1",12,"13,7","10,4",9,"7,9",8
        Республика Тыва,"20,9","19,4","21,9","20,3","16,9","18,6","21,4","21,7","17,3","18,4","19,3"
        Республика Хакасия,"10,7","10,2","8,9","9,1","6,6","7,2","8,6","9,1","7,2","7,9",6
        Алтайский край,"12,3","9,1","8,8","8,9","6,4","8,3","12,3","8,8","8,5","6,2","8,3"
        Забайкальский край,"14,2","12,6","8,6","6,2","8,7","14,9",12,"11,1","10,6","10,6","10,5"
        Красноярский край,"9,2",8,"9,5","8,7","7,6","6,4","9,4","6,2",6,"5,5","5,7"
        Иркутская область,"11,2","10,3","9,8","8,5",8,"8,5","10,8","10,1","9,1","7,8","8,3"
        Кемеровская область,"9,9","9,9","8,6","7,4","6,2","6,6","9,7","8,9","8,1","7,1",6
        Новосибирская область,"11,1","9,1","7,9","7,4",7,"7,3",10,"7,7","6,8","5,6","5,9"
        Омская область,"9,7",9,"8,7","9,1",8,"7,8","8,5","8,1","7,9","6,9","6,8"
        Томская область,"13,7","10,1","10,5","8,9","6,8","8,1","8,7","7,7","9,1","8,4","7,6"
    Дальневосточный федеральный округ,"8,5","8,9","7,9","7,4","6,6","7,7","9,2","8,6","7,4","6,7","6,5"
        Республика Саха (Якутия),"9,4",9,"9,2","9,5","7,7",9,"8,7","8,9",9,8,"7,4"
        Камчатский край,"12,4","10,3","8,4","8,1",9,"8,6","7,5",7,"6,1","5,8","5,7"
        Приморский край,"8,3","9,7",8,"7,9","6,9","7,4","9,5","9,5",8,"6,9","7,1"
        Хабаровский край,"6,2","6,6","5,8","5,8","5,6","8,6","10,2","8,9","6,6","6,4","5,7"
        Амурская область,"9,8","11,7","9,9","8,2","6,1","5,4","8,3","6,9",6,"5,3","6,1"
        Магаданская область,10,8,"6,9","5,3","5,6","7,2","6,5","5,6","4,5","3,4","2,9"
        Сахалинская область,"9,4","7,4","7,7","4,8","4,6","7,4","9,8","8,9","7,9","7,7","7,2"
        Еврейская автономная область,"6,9",8,"7,9","9,8","9,3","9,6","8,5","9,3","8,5","8,5","8,3"
        Чукотский автономный округ,"4,9","3,5","4,2","3,7","3,5","5,2","4,6","4,5","5,6","4,3","3,3"
