indicator_ru,region,1995.00,1996.00,1997.00,1998.00,1999.00,2000.00,2001.00,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00
Денежные доходы (в среднем на душу),        Архангельская область,518.60,693.50,822.80,840.10,1434.20,2139.50,3041.10,3956.50,4834.20,6119.40,7857.00,9539.40,11573.70,14823.60,17218.50,19608.80,21454.80,23635.80,26417.50
Денежные доходы (в среднем на душу),            Ненецкий автономный округ,,,1177.70,1306.70,1904.20,3426.30,5887.60,8621.10,14197.20,20122.20,21455.70,27201.20,37927.40,48764.90,48752.20,52270.10,54632.31,61936.90,66225.60
Денежные доходы (в среднем на душу),        Вологодская область,505.00,709.10,890.70,884.70,1396.20,2022.80,2719.00,3481.30,4411.80,5246.40,6344.70,8673.20,10499.40,12193.50,12135.30,14115.10,15637.90,18125.20,20423.80
Денежные доходы (в среднем на душу),        Калининградская область,375.70,507.20,589.00,756.60,1279.30,1843.30,2339.60,2716.10,3807.10,4692.50,6460.00,8887.60,11399.20,12900.30,14607.80,16040.10,16880.50,19371.30,20748.70
Денежные доходы (в среднем на душу),        Ленинградская область,369.20,540.80,597.50,648.70,1007.60,1354.90,1868.70,2417.50,3052.30,4455.10,5807.30,8288.30,10552.70,12014.40,13055.00,14798.50,15931.80,17925.00,20161.40
Денежные доходы (в среднем на душу),        Мурманская область,743.70,1078.50,1332.30,1558.90,2464.70,3550.10,4620.20,5892.50,7134.70,8366.50,10373.20,12580.00,15221.30,18773.20,21153.30,24046.50,25303.50,28604.20,32553.50
Денежные доходы (в среднем на душу),        Новгородская область,437.80,709.20,765.20,951.00,1375.90,1807.50,2407.70,3008.50,3715.40,4363.30,5478.60,7207.00,8612.60,11645.60,13329.20,15598.90,16980.90,19649.20,20737.70
Денежные доходы (в среднем на душу),        Псковская область,342.50,479.90,563.10,602.20,972.30,1374.80,1847.70,2735.00,3555.70,4293.60,4906.20,6382.30,7863.00,10249.80,11338.90,12797.60,14185.30,16412.10,17376.40
Денежные доходы (в среднем на душу),        г.Санкт-Петербург,670.00,918.80,1015.10,1169.20,1820.30,2555.60,3425.80,4514.40,6851.20,9175.70,12555.90,14148.20,16876.40,17712.10,22132.60,24824.30,25994.70,27794.60,31407.20
Денежные доходы (в среднем на душу),    Южный федеральный округ (по 2009 год),308.90,480.10,589.90,619.60,1040.40,1429.30,1907.90,2548.40,3309.60,4169.30,5332.90,6813.80,8716.80,10885.00,12436.60,,,,
