Численность пенсионеров,,,,,,,
,,,,,,,
,,2008,2009,2011,2012,2013,2014
,,на 1 января,на 1 января,на 1 января,на 1 января,на 1 января,на 1 января
        Новосибирская область,        тысяча человек,701,707,738,749,760,772
        Омская область,        тысяча человек,528,530,542,549,557,564
        Томская область,        тысяча человек,259,262,273,277,280,284
    Дальневосточный федеральный округ,        тысяча человек,1 677,1 686,1 737,1 752,1 763,1 775
        Республика Саха (Якутия),        тысяча человек,229,232,244,250,254,257
        Камчатский край,        тысяча человек,88,88,91,92,92,93
            Корякский автономный  округ,        тысяча человек,6,,,,,
        Приморский край,        тысяча человек,511,512,524,527,531,535
        Хабаровский край,        тысяча человек,368,371,382,383,385,386
        Амурская область,        тысяча человек,221,222,228,230,231,232
        Магаданская область,        тысяча человек,46,46,47,47,47,47
        Сахалинская область,        тысяча человек,157,156,160,162,162,163
        Еврейская автономная область,        тысяча человек,44,45,47,47,47,47
        Чукотский автономный округ,        тысяча человек,13,14,14,14,14,15
