Средний размер назначенных пенсий,        Республика Мордовия,3332.50,4090.40,6820.60,7411.40,8190.20,8960.50
Средний размер назначенных пенсий,        Республика Татарстан,3502.00,4316.30,7230.80,7886.30,8733.50,9586.00
Средний размер назначенных пенсий,        Удмуртская Республика,3568.30,4401.40,7380.70,8045.60,8908.30,9759.20
Средний размер назначенных пенсий,        Чувашская Республика,3300.90,4057.80,6799.80,7411.00,8206.70,9007.20
Средний размер назначенных пенсий,        Пермский край,3599.70,4464.30,7459.30,8134.30,9017.00,9882.00
Средний размер назначенных пенсий,        Кировская область,3582.10,4401.70,7419.20,8063.70,8917.00,9762.00
Средний размер назначенных пенсий,        Нижегородская область,3593.70,4436.40,7468.20,8122.30,8981.60,9842.10
Средний размер назначенных пенсий,        Оренбургская область,3377.10,4152.90,6935.50,7539.90,8335.90,9127.50
Средний размер назначенных пенсий,        Пензенская область,3426.10,4195.30,7001.20,7603.40,8398.00,9158.80
Средний размер назначенных пенсий,        Самарская область,3579.00,4435.60,7444.90,8106.00,8955.70,9806.30
Средний размер назначенных пенсий,        Саратовская область,3415.50,4191.90,6987.60,7575.80,8346.20,9107.40
Средний размер назначенных пенсий,        Ульяновская область,3409.30,4191.50,7004.10,7608.60,8405.00,9184.70
Средний размер назначенных пенсий,    Уральский федеральный округ,3869.50,4827.50,8093.80,8849.60,9814.90,10793.70
Средний размер назначенных пенсий,        Курганская область,3403.10,4184.80,7030.10,7639.00,8438.80,9214.40
Средний размер назначенных пенсий,        Свердловская область,3740.60,4647.50,7803.10,8513.90,9434.60,10353.80
Средний размер назначенных пенсий,        Тюменская область,4634.20,5839.70,9716.20,10663.10,11841.00,13073.90
Средний размер назначенных пенсий,            Ханты-Мансийский автономный округ-Югра,5516.70,6956.40,11413.20,12471.40,13829.80,15232.20
Средний размер назначенных пенсий,            Ямало-Ненецкий автономный округ,5555.30,7031.30,11512.50,12644.10,13943.30,15331.60
Средний размер назначенных пенсий,            Тюменская область (без АО),,,,,,9997.80
Средний размер назначенных пенсий,        Челябинская область,3611.50,4485.00,7492.00,8158.90,9024.20,9879.10
Средний размер назначенных пенсий,    Сибирский федеральный округ,3680.30,4542.10,7548.10,8218.20,9090.70,9942.10
Средний размер назначенных пенсий,        Республика Алтай,3535.00,4278.00,6900.00,7494.30,8280.60,8960.50
Средний размер назначенных пенсий,        Республика Бурятия,3483.10,4281.20,7093.20,7709.10,8534.70,9336.80
Средний размер назначенных пенсий,        Республика Тыва,3618.00,4426.40,7154.90,7833.60,8728.90,9512.70
Средний размер назначенных пенсий,        Республика Хакасия,3673.10,4523.80,7486.90,8149.60,9020.90,9864.20
Средний размер назначенных пенсий,        Алтайский край,3504.60,4285.60,7121.50,7716.50,8497.90,9258.40
Средний размер назначенных пенсий,        Забайкальский край,3411.20,4191.80,6929.40,7561.40,8388.50,9180.00
Средний размер назначенных пенсий,                Агинский Бурятский авт.округ,3161.60,,,,,
Средний размер назначенных пенсий,        Красноярский край,3948.90,4896.00,8145.20,8887.20,9840.80,10781.90
Средний размер назначенных пенсий,        Иркутская область,3793.20,4695.40,7799.30,8503.90,9425.00,10319.30
Средний размер назначенных пенсий,            Усть-Ордынский Бурятский авт.округ,3158.80,,,,,
Средний размер назначенных пенсий,        Кемеровская область,3687.40,4571.70,7570.40,8250.90,9139.10,10008.40
Средний размер назначенных пенсий,        Новосибирская область,3611.70,4461.80,7475.00,8138.70,8997.80,9838.00
Средний размер назначенных пенсий,        Омская область,3526.40,4339.50,7255.10,7877.60,8682.30,9482.60
Средний размер назначенных пенсий,        Томская область,4033.30,4997.70,8304.30,9051.60,10024.10,10981.90
Средний размер назначенных пенсий,    Дальневосточный федеральный округ,4334.80,5389.60,8898.50,9712.20,10770.60,11829.60
