indicator_ru,region,2009,2010,2011,2012,2013
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Кабардино-Балкарская Республика,6437.10,7201.50,7907.40,9155.70,9845.90
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Карачаево-Черкесская Республика,10897.90,10746.40,12368.00,13717.80,15537.80
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Республика Северная Осетия - Алания,4723.80,5007.00,5256.40,7012.70,9041.80
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Чеченская Республика,4402.20,5445.70,6337.10,6995.70,7248.10
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Ставропольский край,9255.60,10719.00,12870.20,14065.00,16109.50
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),    Приволжский федеральный округ,8190.80,9001.10,10467.60,12026.50,13690.30
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Республика Башкортостан,8082.00,8517.20,9954.70,11129.30,12573.00
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Республика Марий Эл,8797.00,11097.00,14030.40,16387.40,18500.30
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Республика Мордовия,8751.90,9458.90,11034.50,12675.30,15031.30
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Республика Татарстан,7732.00,8380.20,9662.70,11369.20,12957.10
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Удмуртская Республика,7462.70,8657.10,9977.10,11266.40,13106.30
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Чувашская Республика,7881.20,8613.80,9916.10,11209.50,12439.30
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Пермский край,8263.10,9233.40,10619.50,11998.40,13231.70
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Кировская область,7758.40,8996.70,10780.90,12547.60,14247.00
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Нижегородская область,9234.60,10608.40,12047.40,13506.70,15232.70
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Оренбургская область,7209.90,7244.60,8658.00,10206.40,11541.60
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Пензенская область,9454.80,10633.50,12883.70,15324.30,17664.50
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Самарская область,9214.50,10266.70,11471.70,12567.20,14931.10
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Саратовская область,8888.90,9714.10,11098.20,12515.80,13758.30
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Ульяновская область,8766.80,9226.20,10823.90,12146.40,13378.00
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),    Уральский федеральный округ,11174.30,12457.20,14477.30,16413.00,18217.00
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Курганская область,7817.00,8676.60,10609.50,11497.90,12924.70
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Свердловская область,12315.60,13832.30,15574.60,17382.20,19126.00
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Тюменская область,13168.10,14672.30,16643.60,18643.20,20308.70
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),            Тюменская область (частично),12244.50,13493.70,15147.90,,
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),            Ханты-Мансийский автономный округ-Югра,19086.30,21699.40,25433.80,27175.70,29308.10
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),            Ямало-Ненецкий автономный округ,18384.30,21223.80,25675.60,27747.80,28553.10
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Челябинская область,9570.30,10482.20,12706.80,14760.40,16828.70
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),    Сибирский федеральный округ,8117.90,9206.30,11062.40,12455.30,14203.30
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Республика Алтай,5323.50,6116.90,7415.20,8711.50,8731.20
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Республика Бурятия,5700.10,7272.70,8882.50,10276.90,13236.00
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Республика Тыва,4585.00,5064.50,5761.10,5767.60,6770.40
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Республика Хакасия,5372.20,7018.50,8306.60,9567.70,10940.10
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Алтайский край,7001.20,8092.40,9913.00,10988.80,12491.10
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Забайкальский край,4068.80,4657.10,5149.70,6069.80,6702.40
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Красноярский край,9330.90,10560.10,12423.50,13720.10,15419.40
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Иркутская область,10606.10,12714.10,15073.60,17364.80,20006.20
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Кемеровская область,9528.80,10420.50,12143.30,13774.30,15529.40
