indicator_ru,region,2009,2010,2011,2012,2013
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Воронежская область,,10314.40,11622.90,13877.30,17465.40
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Ивановская область,,10453.40,11409.80,13365.30,17016.00
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Калужская область,,12649.30,14564.10,21127.70,22632.60
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Костромская область,,12197.50,12766.40,14321.50,16792.70
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Курская область,,10301.20,12720.20,15691.20,17862.30
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Липецкая область,,11217.50,12131.50,13591.60,16987.60
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Московская область,,21424.10,21402.50,28097.00,35201.00
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Московская область в старых границах,,,21402.50,28172.50,
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Орловская область,,10408.40,11939.40,13900.90,15790.90
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Рязанская область,,10473.00,12061.40,14852.60,18980.70
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Смоленская область,,10122.40,11341.80,13846.10,15844.00
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Тамбовская область,,9838.10,10417.50,12591.80,15748.90
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Тверская область,,12217.90,13497.10,15136.20,17230.30
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Тульская область,,12362.80,12707.00,17707.50,19512.70
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Ярославская область,,13975.20,14315.40,18241.50,21940.60
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        г.Москва,,51496.90,50929.40,61446.10,60878.40
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        г.Москва в старых границах,,,50929.40,62329.40,
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,    Северо-Западный федеральный округ,,,,22643.10,25425.60
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Республика Карелия,,13258.60,14677.70,16721.00,20101.30
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Республика Коми,,18486.70,22290.50,26426.30,29674.90
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Архангельская область,,15853.20,18001.10,20165.00,24302.40
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,            Ненецкий автономный округ,,41348.80,50516.70,57343.00,66151.00
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Вологодская область,,12652.70,13912.30,15467.60,16525.50
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Калининградская область,,14642.90,15756.70,18418.00,23002.90
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Ленинградская область,,18682.90,17431.90,21485.20,25422.00
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Мурманская область,,21482.00,24002.20,27900.70,31621.90
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Новгородская область,,14450.30,15349.40,16280.10,18415.80
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Псковская область,,11830.20,14093.20,15851.20,16265.40
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        г.Санкт-Петербург,,22297.70,23548.00,27323.40,30351.40
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,    Южный федеральный  округ (с 2010 года),,,,15781.00,18948.10
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Республика Адыгея,,11938.10,12853.20,15037.70,17117.40
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Республика Калмыкия,,10365.70,11100.60,12277.90,14777.40
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Краснодарский край,,14567.00,15286.60,16669.20,20390.80
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Астраханская область,,12122.80,12646.80,13709.30,17912.30
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Волгоградская область,,12686.80,13295.00,14739.50,17291.70
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Ростовская область,,14297.00,13676.00,16677.30,19605.00
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,    Северо-Кавказский федеральный округ,,,,13519.80,16602.30
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Республика Дагестан,,8991.90,9533.20,10392.50,15329.20
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Республика Ингушетия,,12329.90,15897.00,14683.30,17287.40
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Кабардино-Балкарская Республика,,9875.50,10398.20,12036.00,13571.10
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Карачаево-Черкесская Республика,,11416.70,12119.20,14286.00,17548.70
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Республика Северная Осетия - Алания,,9676.10,12028.50,11275.60,15380.90
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Чеченская Республика,,15243.70,14524.10,15013.50,18167.40
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Ставропольский край,,13075.10,13684.30,15107.70,17582.00
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,    Приволжский федеральный округ,,,,15795.30,18801.40
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Республика Башкортостан,,12982.10,14788.10,17274.90,20573.00
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Республика Марий Эл,,10741.40,12311.10,13132.70,15231.30
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Республика Мордовия,,9960.60,10724.90,12127.30,13579.50
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Республика Татарстан,,12499.40,13602.90,15582.70,18267.80
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Удмуртская Республика,,12361.00,13232.30,16111.70,18959.70
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Чувашская Республика,,12369.60,13322.30,15530.80,18177.40
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Пермский край,,16515.70,16506.90,21235.30,26736.10
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Кировская область,,11685.80,12266.00,14514.70,16264.30
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Нижегородская область,,12319.00,12928.30,15279.20,18577.40
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Оренбургская область,,11790.20,12761.00,14840.30,17250.20
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Пензенская область,,10166.40,11026.60,13255.10,16619.40
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Самарская область,,12375.70,13628.10,15757.40,19638.80
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Саратовская область,,12865.50,12582.00,17382.70,20199.80
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Ульяновская область,,9981.10,11258.50,12487.20,14867.10
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,    Уральский федеральный округ,,,,21993.60,26684.60
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Курганская область,,12007.60,12587.10,13231.10,15138.50
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Свердловская область,,14847.00,17111.50,19234.90,23288.40
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Тюменская область,,29632.60,35212.90,39945.60,47663.20
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,            Ханты-Мансийский автономный округ-Югра,,33516.00,39451.90,44595.90,54342.50
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,            Ямало-Ненецкий автономный округ,,37566.10,46162.50,48923.90,53042.80
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Челябинская область,,11485.00,12935.50,14731.70,18500.60
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,    Сибирский федеральный округ,,,,18526.30,22099.70
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Республика Алтай,,14444.80,15191.90,17052.60,19642.90
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Республика Бурятия,,12960.80,14180.20,16756.10,19554.30
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Республика Тыва,,14593.80,17543.80,19668.20,19437.40
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Республика Хакасия,,13413.20,14733.30,15358.30,19223.50
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Алтайский край,,10063.10,11721.50,12847.30,14912.70
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Забайкальский край,,12796.80,15596.80,17555.60,20213.90
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Красноярский край,,15964.30,17205.30,19160.30,23074.90
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Иркутская область,,15164.70,16737.30,21383.50,25461.70
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Кемеровская область,,17406.30,16783.00,19541.70,22736.30
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Новосибирская область,,15957.10,16783.80,21175.50,27511.00
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Омская область,,11504.50,13613.70,18125.70,19990.40
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Томская область,,13139.00,16496.80,18782.00,24659.50
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,    Дальневосточный федеральный округ,,,,26386.50,31744.40
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Республика Саха (Якутия),,23081.20,25646.80,27517.70,35723.30
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Камчатский край,,36326.70,40520.40,43250.60,47894.40
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Приморский край,,15284.10,17456.40,22282.80,26582.60
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Хабаровский край,,18608.70,20634.70,24927.10,28062.80
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Амурская область,,16338.40,17280.10,20151.60,25772.30
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Магаданская область,,22413.70,24939.50,38582.60,42813.50
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Сахалинская область,,32979.40,32479.10,35343.80,42831.20
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Еврейская автономная область,,13502.90,15350.20,16524.00,19644.80
Среднемесячная номинальная начисленная заработная плата работников государственных образовательных учреждений среднего профессионального образования,        Чукотский автономный округ,,41546.40,40167.50,52776.40,56815.80
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных) общеобразовательных учреждений,    Центральный федеральный округ,,,,25655.20,31606.10
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных) общеобразовательных учреждений,        Белгородская область,,11380.10,13099.80,16886.20,18757.60
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных) общеобразовательных учреждений,        Брянская область,,7320.60,9185.00,12444.50,16798.20
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных) общеобразовательных учреждений,        Владимирская область,,11497.50,13574.60,16572.80,18714.90
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных) общеобразовательных учреждений,        Воронежская область,,10117.60,11419.90,14866.70,18886.60
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных) общеобразовательных учреждений,        Ивановская область,,9857.50,11467.00,14064.00,17209.70
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных) общеобразовательных учреждений,        Калужская область,,11677.80,14517.90,20870.50,23166.20
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных) общеобразовательных учреждений,        Костромская область,,8761.80,10271.50,12397.50,16420.80
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных) общеобразовательных учреждений,        Курская область,,7822.70,10259.00,14239.30,17153.30
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных) общеобразовательных учреждений,        Липецкая область,,9866.90,11556.70,15155.10,18892.80
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных) общеобразовательных учреждений,        Московская область,,19572.70,21760.60,28454.40,33635.50
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных) общеобразовательных учреждений,        Московская область в старых границах,,,21800.90,28564.70,
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных) общеобразовательных учреждений,        Орловская область,,9561.60,10370.50,12449.50,16398.00
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных) общеобразовательных учреждений,        Рязанская область,,8294.80,10218.40,14095.20,18594.80
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных) общеобразовательных учреждений,        Смоленская область,,8521.60,10045.80,12787.50,17449.10
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных) общеобразовательных учреждений,        Тамбовская область,,8600.20,10728.10,14236.60,17635.80
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных) общеобразовательных учреждений,        Тверская область,,9948.50,11404.40,15126.40,19805.00
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных) общеобразовательных учреждений,        Тульская область,,10497.10,11693.30,16064.50,19930.50
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных) общеобразовательных учреждений,        Ярославская область,,10568.20,12458.00,15561.50,20871.30
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных) общеобразовательных учреждений,        г.Москва,,40201.10,42753.80,54074.00,62481.10
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных) общеобразовательных учреждений,        г.Москва в старых границах,,,43056.30,54294.90,
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных) общеобразовательных учреждений,    Северо-Западный федеральный округ,,,,22487.00,28007.70
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных) общеобразовательных учреждений,        Республика Карелия,,13145.40,14971.40,18894.10,23163.60
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных) общеобразовательных учреждений,        Республика Коми,,14549.80,17954.80,22000.00,29807.30
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных) общеобразовательных учреждений,        Архангельская область,,14048.60,16855.70,21165.70,25175.70
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных) общеобразовательных учреждений,            Ненецкий автономный округ,,35595.40,39666.60,44275.80,52344.80
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных) общеобразовательных учреждений,        Вологодская область,,10893.30,12128.40,15445.30,20528.30
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных) общеобразовательных учреждений,        Калининградская область,,14654.60,16489.20,20170.40,23352.20
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных) общеобразовательных учреждений,        Ленинградская область,,16343.10,18521.00,22904.50,28054.90
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных) общеобразовательных учреждений,        Мурманская область,,21195.50,24679.80,30423.90,34999.90
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных) общеобразовательных учреждений,        Новгородская область,,14748.90,16435.80,19769.90,23009.50
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных) общеобразовательных учреждений,        Псковская область,,10833.80,12133.00,13926.50,17553.00
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных) общеобразовательных учреждений,        г.Санкт-Петербург,,19635.60,22294.50,27275.10,34620.90
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных) общеобразовательных учреждений,    Южный федеральный  округ (с 2010 года),,,,15801.30,19051.20
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных) общеобразовательных учреждений,        Республика Адыгея,,8727.20,9781.40,11853.80,15432.50
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных) общеобразовательных учреждений,        Республика Калмыкия,,8532.30,9243.90,11056.80,14535.90
Среднемесячная номинальная начисленная заработная плата работников государственных (муниципальных) общеобразовательных учреждений,        Краснодарский край,,11830.20,13304.60,18374.40,21291.50
